horizon_weeks,held_out_crisis,date,risk
8,1857,1856-01-05,0.5169435655921111
8,1857,1856-01-12,0.5118527473704109
8,1857,1856-01-19,0.7141843107176009
8,1857,1856-01-26,0.6841927914957038
8,1857,1856-02-02,0.6045499376607806
8,1857,1856-02-09,0.3964955831268441
8,1857,1856-02-16,0.08180004967102014
8,1857,1856-02-23,0.1258718753294362
8,1857,1856-03-01,0.21346784196414695
8,1857,1856-03-08,0.50883620809502
8,1857,1856-03-15,0.8885697816598935
8,1857,1856-03-22,0.8760841779405241
8,1857,1856-03-29,0.6283677353792165
8,1857,1856-04-05,0.34255817464095517
8,1857,1856-04-12,0.3340536857685471
8,1857,1856-04-19,0.4784066657546692
8,1857,1856-04-26,0.5370778284064065
8,1857,1856-05-03,0.32900193439399583
8,1857,1856-05-10,0.2582660121945805
8,1857,1856-05-17,0.16990162660782288
8,1857,1856-05-24,0.23245325589101293
8,1857,1856-05-31,0.23504066518653086
8,1857,1856-06-07,0.1712852257742278
8,1857,1856-06-14,0.38086227093530056
8,1857,1856-06-21,0.2994752915786663
8,1857,1856-06-28,0.5334475644286915
8,1857,1856-07-05,0.43465589317570996
8,1857,1856-07-12,0.5150229901951274
8,1857,1856-07-19,0.8684214848212539
8,1857,1856-07-26,0.8453528786727825
8,1857,1856-08-02,0.7131447271101343
8,1857,1856-08-09,0.35908439406258963
8,1857,1856-08-16,0.027292128888552494
8,1857,1856-08-23,0.020274197254123744
8,1857,1856-08-30,0.03449220082216619
8,1857,1856-09-06,0.12590727867407492
8,1857,1856-09-13,0.8566638300334211
8,1857,1856-09-20,0.9358869158576953
8,1857,1856-09-27,0.8498652274947993
8,1857,1856-10-04,0.13240444134189816
8,1857,1856-10-11,0.07919913915612443
8,1857,1856-10-18,0.021598095060003566
8,1857,1856-10-25,0.056615764470917214
8,1857,1856-11-01,0.03944766328690033
8,1857,1856-11-08,0.019723441452403203
8,1857,1856-11-15,0.021930351193536972
8,1857,1856-11-22,0.01987712440508844
8,1857,1856-11-29,0.11557704594474828
8,1857,1856-12-06,0.2782931977351529
8,1857,1856-12-13,0.40622976860794424
8,1857,1856-12-20,0.23328762429500952
8,1857,1856-12-27,0.44882837522559416
8,1857,1857-01-03,0.6658702526894382
8,1857,1857-01-10,0.7974505404060143
