date,reserve_stress,lending_stress,lending_to_reserve_stress,rate_stress,reserve_drawdown_stress,lending_surge_stress,warning_index,warning_score,reserve_pct_change_4w,reserve_pct_change_8w,crisis_lending_pct_change_4w,crisis_lending_pct_change_8w,reserve_ratio_pct_change_4w,reserve_ratio_pct_change_8w,lending_to_reserve_pct_change_4w,lending_to_reserve_pct_change_8w,bank_rate_change_4w,bank_rate_change_8w,reserve_ratio_gap_52w,crisis_lending_gap_52w,lending_to_reserve_gap_52w
1844-09-07,,,,,,,,,,,,,,,,,,,,,
1844-09-14,,,,,,,,,,,,,,,,,,,,,
1844-09-21,,,,,,,,,,,,,,,,,,,,,
1844-09-28,,,,,,,,,,,,,,,,,,,,,
1844-10-05,,,,,,,,,-0.05351369842540343,,2.0103053435114506,,-0.1947083515386745,,2.1805059814425594,,0.0,,,,
1844-10-12,,,,,,,,,-0.11807705199605334,,1.3627656390302305,,-0.3057806511882982,,1.6791066548136322,,0.0,,,,
1844-10-19,,,,,,,,,-0.2551113092774989,,-0.17018469656992086,,-0.1754745951241844,,0.11401248772511763,,0.0,,,,
1844-10-26,,,,,,,,,-0.25703446584265077,,-0.4427410700597886,,-0.10347150713303799,,-0.24995318851198256,,0.0,,,,
1844-11-02,,,,,0.19776388604284645,0.549618320610687,0.37369110332676675,,-0.15562777884607737,-0.20081325924769644,-0.48522885761379486,0.549618320610687,-0.003794320368291526,-0.19776388604284645,-0.3903504526916852,0.9389940317978436,0.0,0.0,,,
1844-11-09,,,,,0.12797776890522627,0.2310685423525891,0.1795231556289077,,-0.08008605114242795,-0.18870677831357818,-0.47897137066126183,0.2310685423525891,0.2561191683686401,-0.12797776890522627,-0.43361155683551034,0.5174150472915171,0.0,0.0,,,
1844-11-16,,,,,0.07046890479414814,0.13038698328935805,0.10042794404175309,,0.07649887003177347,-0.1981281661377804,0.3622151563328033,0.13038698328935805,0.1273528865321638,-0.07046890479414814,0.2654125278297754,0.4096853581261779,0.0,0.0,,,
1844-11-23,,,,,-0.019887798205161733,-0.17982523378813442,-0.09985651599664808,,0.21711693855748204,-0.09572406361268271,0.47180192572214574,-0.17982523378813442,0.13759663671560007,0.019887798205161733,0.2092526848459726,-0.09300387944795385,0.0,0.0,,,
1844-11-30,,,,,-0.08372063374235417,-0.2632179535945227,-0.17346929366843844,,0.20738795431871337,0.019484848782582942,0.4312807881773397,-0.2632179535945227,0.08784827862354638,0.08372063374235417,0.18543570279774846,-0.27729966042623877,0.0,0.0,,,
1844-12-07,,,,,-0.2775752858413132,-0.2078794020775272,-0.2427273439594202,,0.20567306736990743,0.10911547243547304,0.5203014831023585,-0.2078794020775272,0.01708127541795168,0.2775752858413132,0.2609566591868817,-0.285808720905246,0.0,0.0,,,
1844-12-14,,,,,-0.13923988001740106,0.7201907790143085,0.2904754494984537,,0.25300653473458357,0.3488601187842073,0.26278934059521486,0.7201907790143085,0.010544163790454864,0.13923988001740106,0.0078074659544402625,0.27529219305912855,0.0,0.0,,,
