counterparty,actor_category,crises,n_crises,n_transactions,total_amount,early_access,top_quartile_scale,intermediary_role,centrality_norm,recurrence_norm,cross_crisis_norm,information_channel_score
Hinton Brothers & Co,unknown,1857,1,9,9201.1,1,1,0,0.0009,0.034,0.0,0.3553
Abet Brothers,unknown,1857,1,9,10802.1,1,1,0,0.001,0.034,0.0,0.3553
Stiebel Bros,unknown,1847,1,8,34348.2,1,1,0,0.0033,0.0302,0.0,0.3552
Jacob Walter & Co,unknown,1914,1,7,63587.5,1,1,0,0.0061,0.0264,0.0,0.3552
Weber & Co,unknown,1847,1,8,36009.1,1,1,0,0.0035,0.0302,0.0,0.3552
Tanner & Ward,unknown,1847,1,9,5377.0,1,1,0,0.0005,0.034,0.0,0.3552
D. D. Cama & Co,unknown,1866,1,7,64075.0,1,1,0,0.0062,0.0264,0.0,0.3552
J & T Hepburn,unknown,1847,1,9,7556.3,1,1,0,0.0007,0.034,0.0,0.3552
Henry Kendall & Sons,unknown,1866,1,8,37603.0,1,1,0,0.0036,0.0302,0.0,0.3552
Sims Williams & Co,unknown,1847,1,8,32628.1,1,1,0,0.0032,0.0302,0.0,0.3552
Price & Pierce Ltd,unknown,1914,1,7,64340.0,1,1,0,0.0062,0.0264,0.0,0.3552
H Cox & Co,unknown,1857,1,8,29488.1,1,1,0,0.0028,0.0302,0.0,0.3551
J. Mosenthal & Co,unknown,1866,1,8,29828.6,1,1,0,0.0029,0.0302,0.0,0.3551
W J & H Beale,unknown,1847,1,8,29656.7,1,1,0,0.0029,0.0302,0.0,0.3551
Chalmers G & Co,unknown,1847,1,7,58670.7,1,1,0,0.0057,0.0264,0.0,0.3551
P & C Van Notten & Co,unknown,1866,1,8,27388.0,1,1,0,0.0026,0.0302,0.0,0.3551
J Kingston & Co,unknown,1847,1,8,29769.1,1,1,0,0.0029,0.0302,0.0,0.3551
Norris & Chaplin,unknown,1866,1,8,30396.7,1,1,0,0.0029,0.0302,0.0,0.3551
T. Lowndes & Co,unknown,1866,1,8,24549.7,1,1,0,0.0024,0.0302,0.0,0.355
J D Thomson,unknown,1847,1,8,21446.4,1,1,0,0.0021,0.0302,0.0,0.355
J W Cater Collett & Co,unknown,1847,1,8,22761.0,1,1,0,0.0022,0.0302,0.0,0.355
"Bagallay, Westall & Spence",unknown,1866,1,8,25287.6,1,1,0,0.0024,0.0302,0.0,0.355
H Bull,unknown,1847,1,8,22370.7,1,1,0,0.0022,0.0302,0.0,0.355
Eyles Evans & Co,unknown,1857,1,8,18747.1,1,1,0,0.0018,0.0302,0.0,0.3549
Shaw & Caffary,unknown,1847,1,8,18127.4,1,1,0,0.0018,0.0302,0.0,0.3549
H & E Downs,unknown,1847,1,8,13195.9,1,1,0,0.0013,0.0302,0.0,0.3548
J. & C. Boyd & Co,unknown,1857,1,7,44251.3,1,1,0,0.0043,0.0264,0.0,0.3548
D Satow & Co,unknown,1847,1,8,11296.8,1,1,0,0.0011,0.0302,0.0,0.3548
Broadwood & Barclay,clearing_or_joint_stock_bank,1857,1,7,44659.9,1,1,0,0.0043,0.0264,0.0,0.3548
Thomas Russell & Co,unknown,1847,1,8,13988.3,1,1,0,0.0014,0.0302,0.0,0.3548
Frederick Harrison & Co,unknown,1847,1,8,11162.6,1,1,0,0.0011,0.0302,0.0,0.3548
Ovingtons & Co,unknown,1847,1,8,11759.7,1,1,0,0.0011,0.0302,0.0,0.3548
Brockelbank & Rolt,unknown,1857,1,8,16345.0,1,1,0,0.0016,0.0302,0.0,0.3548
F. Bennoch & Co,unknown,1866,1,8,13279.6,1,1,0,0.0013,0.0302,0.0,0.3548
W. Vaughan & Co,unknown,1866,1,8,14278.9,1,1,0,0.0014,0.0302,0.0,0.3548
J Gore & Co,unknown,1847,1,8,16135.8,1,1,0,0.0016,0.0302,0.0,0.3548
F. Gade & Son,unknown,1866,1,8,15751.0,1,1,0,0.0015,0.0302,0.0,0.3548
Fenn Kemm & Fenn,unknown,1857,1,8,9267.3,1,1,0,0.0009,0.0302,0.0,0.3547
Northumberland & Durham Coal Co,unknown,1857,1,8,8870.5,1,1,0,0.0009,0.0302,0.0,0.3547
Josh Jackson S & Co,unknown,1847,1,8,7416.0,1,1,0,0.0007,0.0302,0.0,0.3547
F Castelli,unknown,1857,1,8,7628.8,1,1,0,0.0007,0.0302,0.0,0.3547
W. E. Franks & Son,unknown,1866,1,8,8667.4,1,1,0,0.0008,0.0302,0.0,0.3547
Alison Cumberlege & Co,unknown,1847,1,7,38329.4,1,1,0,0.0037,0.0264,0.0,0.3547
Spalding & Hodges,unknown,1857,1,8,8668.4,1,1,0,0.0008,0.0302,0.0,0.3547
Barclay & Friend,clearing_or_joint_stock_bank,1847,1,8,8721.2,1,1,0,0.0008,0.0302,0.0,0.3547
"Copestake Moore, Crampton & Co",unknown,1857,1,7,35890.5,1,1,0,0.0035,0.0264,0.0,0.3547
Esdaile & Co,unknown,1866,1,8,8331.6,1,1,0,0.0008,0.0302,0.0,0.3547
Bedwell Yates & Co,unknown,1847,1,8,8317.5,1,1,0,0.0008,0.0302,0.0,0.3547
L. Hart & Son,unknown,1866,1,7,36609.2,1,1,0,0.0035,0.0264,0.0,0.3547
James Fowa,unknown,1857,1,6,63486.1,1,1,0,0.0061,0.0226,0.0,0.3546
Rodocanachi S & Co,unknown,1847,1,7,30937.7,1,1,0,0.003,0.0264,0.0,0.3546
J Littlewood & Co,unknown,1847,1,8,5882.0,1,1,0,0.0006,0.0302,0.0,0.3546
W & I Hall & Co,unknown,1866,1,7,31329.1,1,1,0,0.003,0.0264,0.0,0.3546
"Crocker, Sons & Turner",unknown,1866,1,7,30892.0,1,1,0,0.003,0.0264,0.0,0.3546
Fullers & Co,unknown,1847,1,5,89330.9,1,1,0,0.0086,0.0189,0.0,0.3546
Jno Cape,unknown,1847,1,8,4209.1,1,1,0,0.0004,0.0302,0.0,0.3546
Robert Benson & Co,unknown,1866,1,4,115514.8,1,1,0,0.0112,0.0151,0.0,0.3545
Blyth & Greene,unknown,1847,1,7,29314.8,1,1,0,0.0028,0.0264,0.0,0.3545
Bardgett & Picard,unknown,1857,1,7,20954.5,1,1,0,0.002,0.0264,0.0,0.3544
"Kess, Scott & Co",unknown,1866,1,7,22517.6,1,1,0,0.0022,0.0264,0.0,0.3544
H Pollacks Erben,unknown,1847,1,7,21122.3,1,1,0,0.002,0.0264,0.0,0.3544
John Hubbard & Co,unknown,1866,1,6,46897.1,1,1,0,0.0045,0.0226,0.0,0.3543
John Gladstone & Co,unknown,1857,1,7,17700.5,1,1,0,0.0017,0.0264,0.0,0.3543
T R & W Browning & Co,unknown,1847,1,7,15789.0,1,1,0,0.0015,0.0264,0.0,0.3543
J Lunham & Co,unknown,1847,1,7,16898.9,1,1,0,0.0016,0.0264,0.0,0.3543
B W Laroche,unknown,1847,1,7,15864.8,1,1,0,0.0015,0.0264,0.0,0.3543
C Tottie & Sons,unknown,1857,1,7,18483.7,1,1,0,0.0018,0.0264,0.0,0.3543
Rob & Carter & Co,unknown,1847,1,7,15391.1,1,1,0,0.0015,0.0264,0.0,0.3543
A & J Hill,unknown,1847,1,7,15566.2,1,1,0,0.0015,0.0264,0.0,0.3543
William Leask,unknown,1857,1,7,13096.4,1,1,0,0.0013,0.0264,0.0,0.3542
Sellicoe & Wix,unknown,1847,1,7,11726.9,1,1,0,0.0011,0.0264,0.0,0.3542
Vaughan & Sheldon,unknown,1847,1,7,11694.7,1,1,0,0.0011,0.0264,0.0,0.3542
I B W Nevill & Co,unknown,1857,1,7,13898.0,1,1,0,0.0013,0.0264,0.0,0.3542
Fras Ede & Son,unknown,1847,1,7,11586.3,1,1,0,0.0011,0.0264,0.0,0.3542
C & W Brunshill,unknown,1847,1,7,9948.0,1,1,0,0.001,0.0264,0.0,0.3542
James Matthews & Co,unknown,1866,1,7,12559.7,1,1,0,0.0012,0.0264,0.0,0.3542
W N De Mattos,unknown,1857,1,7,10400.2,1,1,0,0.001,0.0264,0.0,0.3542
Higgins Eagle & Hutchinson,unknown,1866,1,7,11417.5,1,1,0,0.0011,0.0264,0.0,0.3542
W Venning & Co,unknown,1847,1,7,9960.0,1,1,0,0.001,0.0264,0.0,0.3542
Hardcastle & Co.,unknown,1866,1,7,11791.0,1,1,0,0.0011,0.0264,0.0,0.3542
London & Venezuela Bank Limited,clearing_or_joint_stock_bank,1866,1,6,41011.0,1,1,0,0.004,0.0226,0.0,0.3542
Phillips & Burton,unknown,1847,1,7,11323.7,1,1,0,0.0011,0.0264,0.0,0.3542
"Quenene, Furney & Co",unknown,1857,1,2,157927.1,1,1,0,0.0153,0.0075,0.0,0.3542
L Bunn & Co,unknown,1857,1,7,12765.6,1,1,0,0.0012,0.0264,0.0,0.3542
Rayner & Co,unknown,1866,1,7,14037.5,1,1,0,0.0014,0.0264,0.0,0.3542
Swewells & Neck,unknown,1857,1,6,44537.6,1,1,0,0.0043,0.0226,0.0,0.3542
Churchill & Son,unknown,1847,1,6,44410.4,1,1,0,0.0043,0.0226,0.0,0.3542
Dickson Bros & Co,unknown,1847,1,7,14995.0,1,1,0,0.0014,0.0264,0.0,0.3542
T P Lloyd & Co,unknown,1847,1,7,11477.8,1,1,0,0.0011,0.0264,0.0,0.3542
E Bernoulli,unknown,1847,1,7,10070.8,1,1,0,0.001,0.0264,0.0,0.3542
"Ellis, Howell & Co",unknown,1866,1,6,43867.4,1,1,0,0.0042,0.0226,0.0,0.3542
M J Soares,unknown,1847,1,7,8732.5,1,1,0,0.0008,0.0264,0.0,0.3541
Mitchell Yeames & Co,unknown,1866,1,5,65324.2,1,1,0,0.0063,0.0189,0.0,0.3541
"Dennistoun, Cross & Co",unknown,1866,1,4,97344.6,1,1,0,0.0094,0.0151,0.0,0.3541
W Leschallas,unknown,1847,1,7,7256.9,1,1,0,0.0007,0.0264,0.0,0.3541
Jas Renshaw & Co,unknown,1847,1,7,9684.5,1,1,0,0.0009,0.0264,0.0,0.3541
J Hartley & Co,unknown,1857,1,7,9028.8,1,1,0,0.0009,0.0264,0.0,0.3541
Thomas Urwick Son & D,unknown,1847,1,7,6809.8,1,1,0,0.0007,0.0264,0.0,0.3541
Fras Rebello,unknown,1847,1,7,7126.8,1,1,0,0.0007,0.0264,0.0,0.3541
Z Harris & Sons,unknown,1847,1,7,7657.5,1,1,0,0.0007,0.0264,0.0,0.3541
Pickernell Bros,unknown,1847,1,7,4334.4,1,1,0,0.0004,0.0264,0.0,0.354
"Tamvaco, Micrulachi & Co",unknown,1866,1,6,31521.1,1,1,0,0.003,0.0226,0.0,0.354
I.H.H. Holm,unknown,1866,1,6,31678.8,1,1,0,0.0031,0.0226,0.0,0.354
Graham Tobias & Co,unknown,1857,1,6,25755.9,1,1,0,0.0025,0.0226,0.0,0.3539
N Cohen,unknown,1857,1,5,52029.9,1,1,0,0.005,0.0189,0.0,0.3538
L H Haslewood,unknown,1847,1,6,23823.7,1,1,0,0.0023,0.0226,0.0,0.3538
C Sutherland & Co,unknown,1857,1,6,23410.5,1,1,0,0.0023,0.0226,0.0,0.3538
"Iwing, Ebsworth & Holmes",unknown,1866,1,5,50642.9,1,1,0,0.0049,0.0189,0.0,0.3538
Rehder & Baldemann,unknown,1857,1,6,18197.9,1,1,0,0.0018,0.0226,0.0,0.3538
N Garrett & Sons,unknown,1866,1,6,19799.4,1,1,0,0.0019,0.0226,0.0,0.3538
Robert Christie & Co,unknown,1866,1,6,13986.4,1,1,0,0.0014,0.0226,0.0,0.3537
Royal Bank Of Canada,clearing_or_joint_stock_bank,1914,1,2,135458.0,1,1,0,0.0131,0.0075,0.0,0.3537
Jno Schneider & Co,unknown,1847,1,5,44278.9,1,1,0,0.0043,0.0189,0.0,0.3537
N Fisher & Sons,unknown,1866,1,6,16024.1,1,1,0,0.0015,0.0226,0.0,0.3537
Thomson Hankey & Co,unknown,1847,1,6,16929.6,1,1,0,0.0016,0.0226,0.0,0.3537
E Wigan & Co,unknown,1847,1,5,44877.3,1,1,0,0.0043,0.0189,0.0,0.3537
George Smeed,unknown,1866,1,6,14646.3,1,1,0,0.0014,0.0226,0.0,0.3537
"Gellatly, Hankey & Sewell",unknown,1866,1,6,18031.1,1,1,0,0.0017,0.0226,0.0,0.3537
Jeff Pelly,unknown,1847,1,6,16148.0,1,1,0,0.0016,0.0226,0.0,0.3537
H Hewetson,unknown,1847,1,6,8981.2,1,1,0,0.0009,0.0226,0.0,0.3536
Christopher Sutherland,unknown,1847,1,6,9751.9,1,1,0,0.0009,0.0226,0.0,0.3536
Lat Discount Co Lo,unknown,1857,1,3,100272.1,1,1,0,0.0097,0.0113,0.0,0.3536
Bennock & T,unknown,1847,1,6,13351.8,1,1,0,0.0013,0.0226,0.0,0.3536
Montoya S & Co,unknown,1847,1,5,38155.4,1,1,0,0.0037,0.0189,0.0,0.3536
Pye Field & T,unknown,1847,1,6,12745.9,1,1,0,0.0012,0.0226,0.0,0.3536
Lascaridi & Co,unknown,1857,1,6,12359.4,1,1,0,0.0012,0.0226,0.0,0.3536
W B Hutton & Sons,unknown,1847,1,6,10357.9,1,1,0,0.001,0.0226,0.0,0.3536
Swindell Matthews & Sendall,unknown,1866,1,6,13036.6,1,1,0,0.0013,0.0226,0.0,0.3536
James Wiseman,unknown,1866,1,6,12552.9,1,1,0,0.0012,0.0226,0.0,0.3536
Puget & Co,unknown,1847,1,5,32369.7,1,1,0,0.0031,0.0189,0.0,0.3535
Lester & Buskin,unknown,1857,1,6,8648.3,1,1,0,0.0008,0.0226,0.0,0.3535
F H & J J Wawn,unknown,1847,1,6,5447.9,1,1,0,0.0005,0.0226,0.0,0.3535
J Lackerstein & Sons,unknown,1847,1,6,7987.6,1,1,0,0.0008,0.0226,0.0,0.3535
Josh Stuart & Son,unknown,1847,1,6,4981.0,1,1,0,0.0005,0.0226,0.0,0.3535
Elder Stevens & Co,unknown,1866,1,6,8775.8,1,1,0,0.0008,0.0226,0.0,0.3535
D Harris & Sons,unknown,1847,1,6,6240.3,1,1,0,0.0006,0.0226,0.0,0.3535
James Norris,unknown,1857,1,6,7992.5,1,1,0,0.0008,0.0226,0.0,0.3535
J Stephens & Co,unknown,1847,1,6,8058.2,1,1,0,0.0008,0.0226,0.0,0.3535
Wilson Swale & Co,unknown,1866,1,6,8265.0,1,1,0,0.0008,0.0226,0.0,0.3535
John Fair & Co,unknown,1866,1,5,34466.2,1,1,0,0.0033,0.0189,0.0,0.3535
N Anderson Son & Co,unknown,1847,1,6,5308.5,1,1,0,0.0005,0.0226,0.0,0.3535
Cockerell & Co,unknown,1847,1,4,65763.2,1,1,0,0.0064,0.0151,0.0,0.3535
D W Wetton & Co,unknown,1847,1,6,8225.4,1,1,0,0.0008,0.0226,0.0,0.3535
"Rose, Graham & Wilson",unknown,1866,1,5,28586.6,1,1,0,0.0028,0.0189,0.0,0.3534
Weston & Co,unknown,1866,1,5,31000.0,1,1,0,0.003,0.0189,0.0,0.3534
A. Mongredien & Co,unknown,1866,1,5,26447.0,1,1,0,0.0026,0.0189,0.0,0.3534
B. Jubini & Co,unknown,1866,1,5,23873.9,1,1,0,0.0023,0.0189,0.0,0.3533
H D Greverus,unknown,1847,1,5,25148.4,1,1,0,0.0024,0.0189,0.0,0.3533
J & A Crocker,unknown,1857,1,5,24516.0,1,1,0,0.0024,0.0189,0.0,0.3533
Jno Anderson & Sons,unknown,1847,1,5,23176.9,1,1,0,0.0022,0.0189,0.0,0.3533
Hoare Buxton & Co,unknown,1857,1,4,52019.3,1,1,0,0.005,0.0151,0.0,0.3533
Siordet Meyer & Co,unknown,1857,1,5,23694.7,1,1,0,0.0023,0.0189,0.0,0.3533
T Kinnersley & Sons,unknown,1847,1,4,47500.0,1,1,0,0.0046,0.0151,0.0,0.3532
"Barker, Benwell & Co.",unknown,1866,1,2,110000.0,1,1,0,0.0106,0.0075,0.0,0.3532
Spicer Brothers,unknown,1857,1,5,17966.1,1,1,0,0.0017,0.0189,0.0,0.3532
Thompson & Pattinson,unknown,1866,1,5,17515.3,1,1,0,0.0017,0.0189,0.0,0.3532
J. Kynaston & Sons,unknown,1866,1,5,20538.9,1,1,0,0.002,0.0189,0.0,0.3532
Samuel Courtaula & Co,unknown,1866,1,5,17535.5,1,1,0,0.0017,0.0189,0.0,0.3532
"Pye, Field & Co",unknown,1866,1,5,16146.6,1,1,0,0.0016,0.0189,0.0,0.3532
Young Harrison & Co,unknown,1847,1,5,17164.6,1,1,0,0.0017,0.0189,0.0,0.3532
L Engstrom L & Co,unknown,1847,1,5,17421.2,1,1,0,0.0017,0.0189,0.0,0.3532
Edwards Chuck,unknown,1847,1,5,19661.6,1,1,0,0.0019,0.0189,0.0,0.3532
R. W. Kennard & Co,unknown,1866,1,5,16264.7,1,1,0,0.0016,0.0189,0.0,0.3532
Baltazzi Sons & Co,unknown,1857,1,5,17748.9,1,1,0,0.0017,0.0189,0.0,0.3532
Sapte & Co,unknown,1847,1,4,48860.2,1,1,0,0.0047,0.0151,0.0,0.3532
Stealfeild Lancence,unknown,1857,1,4,41142.0,1,1,0,0.004,0.0151,0.0,0.3531
Gould Davis & M,unknown,1847,1,5,15184.0,1,1,0,0.0015,0.0189,0.0,0.3531
John Horstman,unknown,1847,1,4,45733.3,1,1,0,0.0044,0.0151,0.0,0.3531
J. H. Rudall & Son,unknown,1866,1,5,13551.7,1,1,0,0.0013,0.0189,0.0,0.3531
Jas Campbell B S,unknown,1847,1,5,15100.8,1,1,0,0.0015,0.0189,0.0,0.3531
John Feltham & Co,unknown,1857,1,5,12205.5,1,1,0,0.0012,0.0189,0.0,0.3531
Harrison & Hardcastle,unknown,1847,1,5,11336.9,1,1,0,0.0011,0.0189,0.0,0.3531
Ollier & Co,unknown,1866,1,5,11782.2,1,1,0,0.0011,0.0189,0.0,0.3531
P R Poland & Son,unknown,1847,1,5,12397.2,1,1,0,0.0012,0.0189,0.0,0.3531
Richard Hallett & Sons,unknown,1847,1,5,9982.0,1,1,0,0.001,0.0189,0.0,0.353
Thomas Kettlewell,unknown,1847,1,5,6885.6,1,1,0,0.0007,0.0189,0.0,0.353
Bery Lawrence,unknown,1847,1,5,7231.0,1,1,0,0.0007,0.0189,0.0,0.353
Jno Mair,unknown,1847,1,5,6961.5,1,1,0,0.0007,0.0189,0.0,0.353
E. Lloyd & Co,unknown,1866,1,5,9915.6,1,1,0,0.001,0.0189,0.0,0.353
Ricketts Boutcher & Co,unknown,1857,1,4,35981.8,1,1,0,0.0035,0.0151,0.0,0.353
Charleton & Watson,unknown,1847,1,5,8348.5,1,1,0,0.0008,0.0189,0.0,0.353
W & H Brand & Co,unknown,1857,1,5,7638.2,1,1,0,0.0007,0.0189,0.0,0.353
H. Butler & Son,unknown,1866,1,5,9900.0,1,1,0,0.001,0.0189,0.0,0.353
H Sherwood Co,unknown,1914,1,1,123022.2,1,1,0,0.0119,0.0038,0.0,0.353
H Sillem Son & Co,unknown,1847,1,4,39723.6,1,1,0,0.0038,0.0151,0.0,0.353
"B Smith, Duke",unknown,1847,1,5,8046.2,1,1,0,0.0008,0.0189,0.0,0.353
C J Mare & Co,unknown,1847,1,5,9507.2,1,1,0,0.0009,0.0189,0.0,0.353
C Joyce,unknown,1847,1,5,5797.7,1,1,0,0.0006,0.0189,0.0,0.353
Laurie Hamilton & Co,unknown,1847,1,5,7167.8,1,1,0,0.0007,0.0189,0.0,0.353
Jas Bischoff & Sons,unknown,1847,1,5,6970.5,1,1,0,0.0007,0.0189,0.0,0.353
Clay & Gillman,unknown,1847,1,5,5772.9,1,1,0,0.0006,0.0189,0.0,0.353
Jos Stuart & Son,unknown,1847,1,5,7695.0,1,1,0,0.0007,0.0189,0.0,0.353
Rob Chuter,unknown,1847,1,5,5977.1,1,1,0,0.0006,0.0189,0.0,0.353
Samuel Gibson,unknown,1866,1,5,8614.8,1,1,0,0.0008,0.0189,0.0,0.353
W C Braddon,unknown,1847,1,5,9859.3,1,1,0,0.001,0.0189,0.0,0.353
G S Cundell,unknown,1847,1,5,4575.0,1,1,0,0.0004,0.0189,0.0,0.3529
Copestake Moore & Co,unknown,1866,1,4,32732.1,1,1,0,0.0032,0.0151,0.0,0.3529
"Prince, Ogg & Co",unknown,1866,1,4,31987.0,1,1,0,0.0031,0.0151,0.0,0.3529
Manning & A,unknown,1847,1,4,32765.8,1,1,0,0.0032,0.0151,0.0,0.3529
John Constable,unknown,1847,1,5,5138.8,1,1,0,0.0005,0.0189,0.0,0.3529
F. De Lizardi & Co,unknown,1866,1,4,33830.4,1,1,0,0.0033,0.0151,0.0,0.3529
Mayniae & Co,unknown,1847,1,3,62874.0,1,1,0,0.0061,0.0113,0.0,0.3529
B Smith Greenwich,unknown,1847,1,5,4197.8,1,1,0,0.0004,0.0189,0.0,0.3529
Foster Porter & Co,unknown,1857,1,4,33454.6,1,1,0,0.0032,0.0151,0.0,0.3529
W Oswald,unknown,1847,1,5,5579.7,1,1,0,0.0005,0.0189,0.0,0.3529
Forman & Hadow,unknown,1847,1,5,5689.0,1,1,0,0.0005,0.0189,0.0,0.3529
W & J Kynaston,unknown,1847,1,5,5366.6,1,1,0,0.0005,0.0189,0.0,0.3529
John Rapp & Co,unknown,1857,1,4,34399.6,1,1,0,0.0033,0.0151,0.0,0.3529
C S Fowler,unknown,1847,1,5,4799.1,1,1,0,0.0005,0.0189,0.0,0.3529
English Joint & Stock Bank Limited,clearing_or_joint_stock_bank,1866,1,3,58000.0,1,1,0,0.0056,0.0113,0.0,0.3528
Hanson Bros & Co,unknown,1847,1,4,27768.8,1,1,0,0.0027,0.0151,0.0,0.3528
Donaldson Lambert & Co,unknown,1866,1,4,28140.0,1,1,0,0.0027,0.0151,0.0,0.3528
L J Enthoven & Co,unknown,1847,1,4,26066.4,1,1,0,0.0025,0.0151,0.0,0.3528
Standard Bank Of Africa Limited,foreign_or_colonial_financial,1866,1,4,27407.4,1,1,0,0.0026,0.0151,0.0,0.3528
Rt Lowes & Co,unknown,1857,1,2,79212.0,1,1,0,0.0077,0.0075,0.0,0.3527
Bank Of Egypt,foreign_or_colonial_financial,1857,1,3,54201.6,1,1,0,0.0052,0.0113,0.0,0.3527
W Jackson & Co,unknown,1866,1,4,21350.8,1,1,0,0.0021,0.0151,0.0,0.3527
John Armitage & Co,unknown,1866,1,4,18300.0,1,1,0,0.0018,0.0151,0.0,0.3526
Morgan Yellibrand & Co,merchant_bank,1914,1,4,17665.8,1,0,1,0.0017,0.0151,0.0,0.3526
Daniel Hawkins,unknown,1857,1,4,16580.0,1,1,0,0.0016,0.0151,0.0,0.3526
A. L. Elder,unknown,1866,1,3,48583.7,1,1,0,0.0047,0.0113,0.0,0.3526
Alexander Bell,unknown,1847,1,4,20000.1,1,1,0,0.0019,0.0151,0.0,0.3526
"Heilbut, Symons & Co",unknown,1866,1,4,19241.7,1,1,0,0.0019,0.0151,0.0,0.3526
Bowes Game & Moren,unknown,1866,1,4,13891.5,1,1,0,0.0013,0.0151,0.0,0.3525
Draper Pietroni & Co,unknown,1857,1,4,13138.0,1,1,0,0.0013,0.0151,0.0,0.3525
Stuart & Sharpe,unknown,1847,1,4,13190.0,1,1,0,0.0013,0.0151,0.0,0.3525
Crowe Christian & Co,unknown,1857,1,4,11478.4,1,1,0,0.0011,0.0151,0.0,0.3525
Alison C & Co,unknown,1847,1,4,13742.4,1,1,0,0.0013,0.0151,0.0,0.3525
Peter Dickson & Co,unknown,1847,1,4,12345.2,1,1,0,0.0012,0.0151,0.0,0.3525
Bhimsey Sewjee & Co,unknown,1866,1,4,13545.8,1,1,0,0.0013,0.0151,0.0,0.3525
A S Petrie & Co,unknown,1847,1,4,11011.9,1,1,0,0.0011,0.0151,0.0,0.3525
Fraser Neilson,unknown,1847,1,4,13733.2,1,1,0,0.0013,0.0151,0.0,0.3525
Fowler Neph & Co,unknown,1847,1,3,41514.9,1,1,0,0.004,0.0113,0.0,0.3525
