counterparty,actor_category,crises,n_crises,n_transactions,total_amount,information_channel_score,spans_cable
H W Eaton,unknown,"1847,1857",2,42,174993.4,0.4272,no
Bruce Buxton & Co,unknown,1847,1,46,2641114.3,0.4271,no
G B Carr,unknown,"1847,1857",2,40,119220.7,0.4249,no
E Sieveking & Son,unknown,"1847,1857",2,38,162402.3,0.4246,no
W & J Devas & Co,unknown,"1847,1866",2,36,196429.9,0.4242,no
T J & T Powell,unknown,"1847,1857",2,40,77117.5,0.4241,no
Miller & Potter,unknown,"1847,1857",2,40,34239.3,0.4233,no
David Lloyd,unknown,"1847,1857",2,39,58025.0,0.4232,no
Bieber & Co,unknown,"1857,1866",2,33,199628.2,0.4225,no
David Evans & Co,unknown,"1857,1866",2,36,107087.4,0.4224,no
Oriental Bank Corporation,foreign_or_colonial_financial,"1857,1866",2,14,715807.5,0.4217,no
Andrew Jackson & Co,unknown,"1847,1866",2,36,14270.6,0.4206,no
S Reuter,unknown,"1847,1857",2,33,94336.3,0.4205,no
D & T J Warren,unknown,"1847,1866",2,35,27145.4,0.4203,no
Do,unknown,"1847,1857",2,23,353721.1,0.4199,no
Gledstanes & Co,unknown,"1847,1857",2,27,232389.1,0.4198,no
F Harrison & Co,unknown,"1847,1857",2,33,45652.4,0.4196,no
R & J Henderson,unknown,"1847,1866",2,23,325255.5,0.4193,no
B Elkin & Sons,unknown,"1847,1857",2,33,30064.4,0.4192,no
J L Lemme & Co,unknown,"1847,1857",2,22,296127.8,0.4182,no
Rainey Bruce & Co,unknown,"1847,1857",2,31,26194.7,0.418,no
Spalding & Hodge,unknown,"1847,1866",2,28,51697.6,0.4169,no
King Melvil & Co,unknown,"1847,1866",2,27,84447.8,0.4169,no
Bradbury & Cook,unknown,"1857,1866",2,26,97236.4,0.4166,no
Giles Loder,unknown,"1847,1866",2,20,260495.8,0.4164,no
Haarbleicher Schumann,unknown,1914,1,39,2280963.9,0.4161,no
B S & J Phillips & Co,unknown,"1857,1866",2,22,167561.3,0.4157,no
J Hubbard & Co,unknown,"1847,1857",2,22,169768.6,0.4157,no
Daniell Dickinson & Co,unknown,"1847,1857",2,24,94084.6,0.4154,no
W Jameson & Son,unknown,"1847,1857",2,25,43263.4,0.415,no
Pinto Perez & Co,unknown,"1847,1857",2,24,52044.8,0.4146,no
J Hart & Co,unknown,"1847,1857",2,25,25151.0,0.4146,no
Randells & Co,unknown,"1847,1857",2,24,54183.0,0.4146,no
Anglo South American Bank Ltd,foreign_or_colonial_financial,1914,1,39,2166880.9,0.4139,no
D Taylor & Sons,unknown,"1847,1857",2,22,65761.2,0.4137,no
J Bischoff & Sons,unknown,"1847,1857",2,21,23288.4,0.4123,no
R Rea & Co,unknown,"1847,1857",2,21,19510.1,0.4123,no
J Davies & Son,unknown,"1847,1857",2,21,16573.9,0.4122,no
Haycroft & Pethick,unknown,"1857,1866",2,17,118786.5,0.4119,no
Sampson Mitchell & Co,unknown,"1847,1857",2,14,197231.0,0.4117,no
G Hitchcock & Co,unknown,"1847,1857",2,19,46419.8,0.4116,no
J Gaury & Co,unknown,"1847,1857",2,18,56067.6,0.4113,no
J & J Vickers & Co,unknown,"1847,1866",2,19,19195.8,0.4111,no
Somes Mullens & Co,unknown,"1857,1866",2,18,48865.4,0.4111,no
Welch Margetson & Co,unknown,"1847,1857",2,18,41195.9,0.411,no
Heugh Balfour & Co,unknown,"1857,1866",2,15,128543.7,0.411,no
Conway Phelps & Hayward,unknown,"1857,1866",2,18,33700.8,0.4108,no
White Son & Co,unknown,"1857,1866",2,18,33450.7,0.4108,no
Louis Cohen,unknown,"1847,1857",2,14,119870.3,0.4102,no
Elias & Co,unknown,"1857,1866",2,13,134345.1,0.41,no
Stephenson Clarke,unknown,"1857,1866",2,17,19939.0,0.41,no
Kerr & Scott,unknown,"1847,1857",2,16,30785.2,0.4097,no
C. & C. I. Coles,unknown,"1857,1866",2,14,81295.2,0.4095,no
Cole Nichols & Co,unknown,"1847,1857",2,15,49249.8,0.4094,no
James Hill & Sons,unknown,"1857,1866",2,11,159327.4,0.4093,no
W Klein,unknown,"1857,1866",2,15,40035.5,0.4093,no
Mangles & Co,unknown,"1847,1857",2,15,34764.9,0.4092,no
D Drakeford & Co,unknown,"1847,1857",2,15,25732.1,0.409,no
Bevingtons & Sons,unknown,"1847,1866",2,15,29285.0,0.409,no
Coventry Sheppard & Co,unknown,"1857,1866",2,15,27783.0,0.409,no
W Kendle,unknown,"1847,1857",2,15,7874.1,0.4086,no
L Hart & Son,unknown,"1847,1857",2,14,25235.5,0.4084,no
Moses Brothers,unknown,"1857,1866",2,13,40285.2,0.4081,no
Edwards Eastty & Co,unknown,"1857,1866",2,12,63226.6,0.408,no
Phillips King & Co,unknown,"1847,1857",2,13,23178.1,0.4078,no
P Hava & Co,unknown,"1847,1857",2,12,45477.8,0.4077,no
Leaf Sons & Co,unknown,"1857,1866",2,10,99803.7,0.4076,no
R Johnson & Co,unknown,"1857,1866",2,12,9211.3,0.407,no
J F Fixsen & Co,unknown,"1847,1857",2,11,11993.4,0.4065,no
Horstman & Co,unknown,"1857,1866",2,8,99717.3,0.4064,no
H Waithman & Co,unknown,"1847,1857",2,10,25916.5,0.4061,no
George Brettle & Co,unknown,"1857,1866",2,10,21481.3,0.4061,no
Thomson Bonar & Co,unknown,"1847,1866",2,8,74528.1,0.406,no
Marshall Page & Co,unknown,"1857,1866",2,10,17596.1,0.406,no
Lemon Hart & Son,unknown,"1847,1866",2,9,38159.7,0.4058,no
Spartali & Co,unknown,"1857,1866",2,8,53709.2,0.4056,no
B Salomons & Sons,unknown,"1847,1857",2,9,18764.0,0.4055,no
Blogg & Martin,unknown,"1847,1866",2,6,102840.4,0.4054,no
H H Lindsay,unknown,"1847,1857",2,9,11629.2,0.4053,no
John Harbottle,unknown,"1857,1866",2,8,25708.5,0.405,no
Ralli & Mavrojani,unknown,"1857,1866",2,7,30870.6,0.4046,no
"Chartered Bank Of India, Austrailia & China",foreign_or_colonial_financial,1914,1,22,2175719.5,0.4045,no
Ralli Bros,unknown,"1847,1914",2,4,108912.8,0.4044,yes
A & G N Alexander & Co,unknown,1847,1,31,1899818.5,0.4043,no
James Watt & Co,unknown,"1857,1866",2,7,15026.6,0.4043,no
Geo Gibbs & Son,merchant_bank,"1847,1857",2,7,1648.1,0.404,no
Imperial Ottoman Bank,foreign_or_colonial_financial,1914,1,19,2237876.9,0.404,no
Samuel Stone,unknown,"1847,1857",2,6,25479.1,0.4039,no
Zarifi Brothers & Co,unknown,"1857,1866",2,5,55602.7,0.4039,no
H Bateman,unknown,"1847,1857",2,6,23848.4,0.4038,no
Nathaniel Cohen,unknown,"1857,1866",2,5,42495.7,0.4036,no
Bailey Pegg & Co,unknown,"1847,1857",2,6,11321.1,0.4036,no
John Pirie & Co,unknown,"1857,1866",2,5,16580.0,0.4032,no
Colchesters & Woolner,unknown,"1857,1866",2,5,16927.9,0.4032,no
H & C Kent,unknown,"1857,1866",2,5,15494.2,0.4031,no
James Barber & Co,unknown,"1857,1866",2,5,11831.7,0.403,no
Morgan Brothers,merchant_bank,"1857,1866",2,4,11800.3,0.4025,no
Jellicoe & Wix,unknown,"1847,1857",2,4,6790.8,0.4024,no
Joseph Jackson,unknown,"1847,1857",2,4,7350.0,0.4024,no
Dudgeon & Co,unknown,"1847,1857",2,3,8007.0,0.4018,no
Churchill & Sim,unknown,"1857,1914",2,2,28811.2,0.4017,yes
R.Cunliffe Sons Co,unknown,1914,1,24,1899733.2,0.4003,no
Thomas Walker WW,unknown,1847,1,83,70115.0,0.3983,no
Hong Kong & Shanghai Banking Corporation,unknown,1914,1,24,1617882.9,0.3948,no
S.Montagu Co,unknown,1914,1,32,1376063.8,0.3947,no
R B Byass,unknown,1847,1,76,52471.6,0.394,no
Coates & Co,unknown,1847,1,65,264642.7,0.3919,no
Ryder & Co,unknown,1914,1,20,1458923.0,0.3895,no
Smith Fleming & Co,unknown,1866,1,29,1130267.1,0.3883,no
Rob Lawes & Co,unknown,1847,1,42,610292.4,0.3856,no
Kraeutler & Mueville,unknown,1847,1,45,445125.4,0.3841,no
William Nash,unknown,1847,1,58,61351.7,0.384,no
Lyon & Lucker,unknown,1914,1,22,1005164.5,0.3819,no
Robert Smith & Co,unknown,1866,1,47,257094.5,0.3816,no
R Lawes & Co,unknown,1857,1,25,888937.5,0.3813,no
H Castellain Sons & Co,unknown,1847,1,47,232284.3,0.3811,no
Daniell Cafenove & Co,unknown,1914,1,28,780754.3,0.3809,no
Jas Lang,unknown,1847,1,48,192731.1,0.3809,no
Ralli & Mavrajani,unknown,1847,1,47,198345.6,0.3804,no
Harwood Knight & Allen,unknown,1866,1,19,984430.0,0.3798,no
Carr Lamb & Co,unknown,1847,1,47,94810.0,0.3784,no
White & Shaxson,unknown,1914,1,22,782893.5,0.3776,no
Morrison D & Co,unknown,1847,1,36,352634.3,0.3772,no
P T Ralli,unknown,1857,1,42,170952.4,0.3771,no
Mercantile Bank Of India Ltd,foreign_or_colonial_financial,1914,1,20,819240.3,0.3771,no
R Nunes,unknown,1847,1,46,21195.1,0.3764,no
Perkins Schlusser & Co,unknown,1847,1,40,188293.9,0.3763,no
International Banking Corporation,unknown,1914,1,22,708043.3,0.3761,no
W Cater,unknown,1847,1,44,51942.7,0.3759,no
Hyde Hodge & Co,unknown,1857,1,38,222453.9,0.3758,no
Bischoffshein G & Co,unknown,1847,1,32,389796.6,0.3757,no
H W Schwartz,unknown,1847,1,41,108931.3,0.3753,no
British Bank Of South America Ltd,clearing_or_joint_stock_bank,1914,1,12,952994.2,0.3752,no
Schunck S & Co,unknown,1847,1,35,275840.7,0.3751,no
T & J Ralli,unknown,1866,1,41,90859.8,0.375,no
A. Ruffer & Sons,unknown,1914,1,28,470857.4,0.375,no
William Brandt'S Sons & Co,unknown,1914,1,13,899189.7,0.3747,no
A Nichol & Son,unknown,1847,1,42,47578.1,0.3747,no
David Evans,unknown,1847,1,38,156935.7,0.3746,no
Cavan Bros & Co,unknown,1847,1,37,182987.4,0.3745,no
Conway Phelps & Co,unknown,1847,1,39,125388.2,0.3745,no
Rawson & Norton & Co,unknown,1847,1,38,138142.4,0.3742,no
Gould Dowie & M,unknown,1847,1,40,74818.2,0.3741,no
Streatfeild L & Co,unknown,1847,1,40,59562.0,0.3738,no
L Phillips & Sons,unknown,1847,1,40,57569.7,0.3738,no
Rob Knapton,unknown,1847,1,41,31124.6,0.3738,no
W H Ogden,unknown,1847,1,40,58935.9,0.3738,no
Fenn Kemm & Co,unknown,1847,1,40,50223.8,0.3736,no
B Figdor,unknown,1847,1,39,75762.7,0.3735,no
L Alexander & Co,unknown,1847,1,34,161964.6,0.3724,no
De Mattos & De Leon,unknown,1847,1,34,149963.8,0.3721,no
Castellain Sons & Co,unknown,1847,1,32,198883.9,0.372,no
Siordeh M & Co,unknown,1847,1,34,131009.5,0.3718,no
E B Brown,unknown,1847,1,37,27546.8,0.3715,no
J Reay Jnr & H Reay,unknown,1847,1,36,25473.7,0.3709,no
A Bell & Sons,unknown,1857,1,33,104493.8,0.3707,no
Rougemont Bros,unknown,1847,1,33,94598.5,0.3705,no
Haarbleichen Schumaum,unknown,1866,1,25,328000.7,0.3705,no
H Woodfull,unknown,1847,1,36,6845.5,0.3705,no
Holford & Co,unknown,1847,1,30,167489.2,0.3702,no
Ellice Kinnear & Co,unknown,1847,1,27,257169.4,0.3702,no
Schuezler & Co,unknown,1847,1,34,46743.5,0.3701,no
Cama & Co,unknown,1857,1,29,186057.0,0.37,no
Booker Sons & Co,unknown,1847,1,34,28090.0,0.3698,no
Vyse & Sons,unknown,1847,1,32,79594.3,0.3697,no
Arbuthnol Latham & Co,unknown,1847,1,28,197114.1,0.3697,no
Frederick Youle,unknown,1866,1,24,308573.3,0.3696,no
Fob Wright & Co,unknown,1847,1,31,97139.8,0.3694,no
Charles Walton,unknown,1847,1,33,30108.9,0.3693,no
R Johnson & Neph,unknown,1847,1,33,26299.4,0.3692,no
Pearse & Child,unknown,1847,1,31,87955.7,0.3692,no
Suse + Sibeth,unknown,1857,1,26,219100.7,0.369,no
Joseph Allard,unknown,1866,1,28,155957.9,0.3689,no
Coventry & Sheppard,unknown,1847,1,31,64856.4,0.3688,no
Abbott Nottingham & Co,unknown,1847,1,32,26493.8,0.3686,no
Alex & Bell,unknown,1847,1,30,83117.6,0.3686,no
John Brown,unknown,1847,1,32,24887.2,0.3686,no
F W Russell,unknown,1847,1,30,76198.0,0.3685,no
Rob & Harrison & Co,unknown,1847,1,29,102545.4,0.3684,no
Allen & Anderson,unknown,1847,1,25,209208.1,0.3682,no
Spartali & Lascaridi,unknown,1847,1,26,175937.4,0.3681,no
J W Browne & Co,unknown,1847,1,31,28088.9,0.3681,no
Streatfield Laurence & Co,unknown,1857,1,25,199265.1,0.368,no
Nestle Andreas & Co,unknown,1847,1,30,49232.8,0.3679,no
McCalmont Bros & Co,unknown,1847,1,24,215990.3,0.3678,no
R Eglinton & Co,unknown,1847,1,26,156221.9,0.3677,no
Aubertin Bros,unknown,1847,1,30,24407.9,0.3675,no
George Peabody,unknown,1847,1,25,175048.2,0.3675,no
Thomas Tapling & Co,unknown,1857,1,29,51033.1,0.3674,no
Timothy Wiggin & Co,unknown,1857,1,21,284535.7,0.3674,no
Gregson & Co,unknown,1847,1,24,193928.6,0.3673,no
Crawford C & Co,unknown,1847,1,24,190777.0,0.3673,no
Canadian Bank Of Commerce,foreign_or_colonial_financial,1914,1,10,603157.1,0.3673,no
J F Pawson & Co,unknown,1847,1,25,157632.9,0.3672,no
Lon: Asiatic & American Coy Limited,unknown,1866,1,18,365609.9,0.3672,no
Gledstones & Co,unknown,1866,1,19,322102.0,0.367,no
Fletcher A & Co,unknown,1847,1,19,321374.6,0.367,no
The Ebbw Vale Co Ltd,unknown,1866,1,19,323600.7,0.367,no
Leys Masson & Co,unknown,1847,1,29,30201.4,0.367,no
G Peabody & Co,unknown,1857,1,13,494353.9,0.3669,no
H Buchler & Co,unknown,1847,1,29,17755.4,0.3668,no
Rowlandson & A,unknown,1847,1,29,14877.1,0.3667,no
R Heine Semon & Co,unknown,1857,1,23,186549.8,0.3666,no
Cotesworth & Powell & Co,unknown,1847,1,24,148759.9,0.3665,no
Boyds & Thomas,unknown,1847,1,25,114873.9,0.3664,no
W Abbott & Son,unknown,1847,1,28,24703.4,0.3663,no
George Marshall,unknown,1847,1,28,25336.5,0.3663,no
Palmer McKillop D & C,unknown,1847,1,22,198432.3,0.3663,no
J H Rudall,unknown,1847,1,28,21985.0,0.3663,no
W Sewell & Co,unknown,1847,1,28,18271.0,0.3662,no
Samuel Montagu & Co,unknown,1866,1,19,276452.9,0.3661,no
N M Rothchild & Son,unknown,1847,1,9,561456.5,0.3659,no
W Cothay & Co,unknown,1847,1,25,93521.7,0.3659,no
White & Greenwell,unknown,1847,1,26,57656.1,0.3658,no
Alston Bevan & Co,unknown,1847,1,26,51791.6,0.3657,no
F.Elles Son,unknown,1914,1,17,316119.8,0.3657,no
De Lannoy & Nash,unknown,1847,1,26,46397.5,0.3656,no
C Buschek,unknown,1847,1,26,45601.9,0.3656,no
I. F. Pawson & Co,unknown,1866,1,17,294766.4,0.3653,no
Nohler & Co,unknown,1914,1,3,700000.0,0.3652,no
Clay Janson & Co,unknown,1847,1,26,26393.4,0.3652,no
Grant & Kemshead,unknown,1847,1,24,79144.3,0.3651,no
Baltazzi & P,unknown,1847,1,22,136712.5,0.3651,no
T. Tapling & Co,unknown,1866,1,24,77301.4,0.3651,no
Konigswarter Bros,unknown,1847,1,23,99203.7,0.3649,no
Abel Bros,unknown,1847,1,25,32172.8,0.3648,no
A & G Da Costa & Co,unknown,1847,1,25,29287.0,0.3647,no
A Goldsmid,unknown,1847,1,21,137619.9,0.3645,no
Davey & Pegg,unknown,1847,1,25,20539.5,0.3645,no
W Mallaliew & Co,unknown,1866,1,24,42015.1,0.3644,no
C Douglas & Son,unknown,1847,1,23,69032.6,0.3644,no
Geo Johnson & Co,unknown,1847,1,25,13104.6,0.3644,no
Groucock C & Co,unknown,1847,1,23,66182.9,0.3643,no
C Fauntleroy,unknown,1857,1,25,8611.6,0.3643,no
Dadabhai Naoroji & Co,unknown,1866,1,22,90862.5,0.3642,no
Steains Rowley & Co,unknown,1847,1,24,31848.6,0.3642,no
