counterparty,actor_category,crises,n_crises,n_transactions,total_amount,information_channel_score,spans_cable
J. C. Im Thurm & Co,unknown,1866,1,12,146127.6,0.3596,no
G&R Dewhurst Ltd,unknown,1914,1,8,263036.1,0.3596,no
Spence B & Co,unknown,1847,1,15,56897.5,0.3596,no
H Goez,unknown,1847,1,16,22380.9,0.3595,no
W Anderson Sew & Co,unknown,1847,1,16,18455.3,0.3594,no
R. B. Byass,unknown,1866,1,15,46562.8,0.3594,no
Caldecott P & Co,unknown,1847,1,15,49639.3,0.3594,no
Magniac J & Co,unknown,1847,1,9,216940.2,0.3593,no
A Macdonald & Co,unknown,1847,1,15,42553.8,0.3593,no
Josh Dowson & Co,unknown,1847,1,15,41205.1,0.3593,no
G Houghton & Sons,unknown,1847,1,16,6784.2,0.3592,no
Mccalmont Brothers & Co,unknown,1857,1,8,243828.7,0.3592,no
Colchester & Neph,unknown,1847,1,16,7824.9,0.3592,no
C & B Hooper,unknown,1847,1,16,7829.0,0.3592,no
Bank Of Madras,foreign_or_colonial_financial,1866,1,15,26365.0,0.359,no
"Gilmour, Rankin, Strang & Co.",unknown,1866,1,15,25061.9,0.359,no
Colonial Company Limited,foreign_or_colonial_financial,1866,1,8,232767.3,0.359,no
I. Leonino & Co,unknown,1866,1,12,114840.0,0.359,no
Peck Bros & Co,unknown,1847,1,15,29435.9,0.359,no
Pastre Brothers,unknown,1866,1,12,106995.2,0.3589,no
Read Dodgson & Co,unknown,1847,1,15,23192.9,0.3589,no
Peter Rolt & Co,unknown,1866,1,13,76369.6,0.3588,no
Bank Of Hindustan Limited,foreign_or_colonial_financial,1866,1,6,279238.7,0.3588,no
Richard Hooper & Sons,unknown,1866,1,14,46712.1,0.3588,no
T & D Henry,unknown,1847,1,15,15724.3,0.3588,no
Denham Smart & Co,unknown,1847,1,15,14199.8,0.3588,no
R A Husey,unknown,1847,1,15,15864.0,0.3588,no
C Devaux & Co,unknown,1847,1,13,75327.8,0.3588,no
Stone & Kemp,unknown,1847,1,14,46153.0,0.3588,no
R Cunliffe Son & Co,unknown,1857,1,10,162713.9,0.3588,no
J Walker W W,unknown,1847,1,15,14747.9,0.3588,no
Luckie Bros & Co,unknown,1847,1,15,17332.4,0.3588,no
James Lang,unknown,1857,1,14,41067.1,0.3587,no
Richard Thornton,unknown,1847,1,15,13111.3,0.3587,no
John Schwartz,unknown,1866,1,15,10232.7,0.3587,no
Lloyd & Attree,unknown,1866,1,15,11244.2,0.3587,no
Laing & Bruxner,unknown,1847,1,14,34389.4,0.3586,no
R J Bagshaw,unknown,1847,1,13,59677.6,0.3585,no
C Lester & Co,unknown,1847,1,14,24074.8,0.3584,no
Barnett & Co,unknown,1866,1,6,258606.9,0.3584,no
W Brandt'S Sons & Co,unknown,1866,1,12,84283.1,0.3584,no
John Williams & Sons,unknown,1857,1,14,18313.4,0.3583,no
R Rodger,unknown,1857,1,10,135776.8,0.3583,no
Drewett & Fowler,unknown,1847,1,10,135981.2,0.3583,no
Streckeisen Bischoff & Co,unknown,1866,1,13,47850.8,0.3583,no
Davidson & Peter,unknown,1847,1,14,12416.3,0.3582,no
F. T. Elworthy,unknown,1866,1,11,102652.5,0.3582,no
Rossetto Carati & Co,unknown,1847,1,13,37475.9,0.3581,no
Robinson & Fleming,unknown,1866,1,11,98829.3,0.3581,no
James Steains & Co,unknown,1866,1,13,39511.4,0.3581,no
Adams & Co,unknown,1847,1,13,38309.9,0.3581,no
Barnetts Hoare & Co On Account Of The Clydesdale Banking Company,unknown,1857,1,4,302771.3,0.3581,no
W M Andrew & Sons,unknown,1866,1,12,54748.6,0.3579,no
Thomas Gabriel & Son,unknown,1847,1,13,28571.1,0.3579,no
Gillespies M & Co,unknown,1847,1,12,54797.0,0.3579,no
Cruikshank M & Co,unknown,1847,1,13,30207.4,0.3579,no
E H Brandts Son & Co,unknown,1857,1,12,58408.1,0.3579,no
Ritchie Bros,unknown,1847,1,13,24289.6,0.3578,no
Bank Of New South Wales,foreign_or_colonial_financial,1866,1,3,316000.0,0.3578,no
W Pemberton & Co,unknown,1847,1,13,21269.2,0.3578,no
Warre Bros,unknown,1847,1,13,16183.7,0.3577,no
"L. Goddard, Finch & Co",unknown,1866,1,13,16738.4,0.3577,no
Schunck Souchay & Co,unknown,1857,1,9,133838.2,0.3577,no
Leonino Bros,unknown,1847,1,11,69310.1,0.3576,no
T.M. Mackay & Co,unknown,1866,1,12,41439.0,0.3576,no
Lyall Bros & Co,unknown,1847,1,11,69449.2,0.3576,no
Jas Deacon & Sons,unknown,1847,1,13,13730.0,0.3576,no
H J Einthoven & Sons,unknown,1857,1,10,101176.6,0.3576,no
Josh Holl & Co,unknown,1847,1,13,6031.3,0.3575,no
Todd Bros,unknown,1847,1,13,9196.3,0.3575,no
Robinson & Flemming,unknown,1857,1,11,68694.9,0.3575,no
Barry & Hayward,unknown,1847,1,13,7593.3,0.3575,no
Joseph Anderson & Son,unknown,1866,1,12,34443.9,0.3575,no
Arthur & Co,unknown,1866,1,10,91624.9,0.3574,no
C & J Webb & Co,unknown,1847,1,12,28970.5,0.3574,no
H Hoffmann,unknown,1857,1,12,28198.7,0.3573,no
Ellis Everington & Co,unknown,1857,1,10,85429.1,0.3573,no
"John Jones, Lloyd",unknown,1847,1,12,23699.8,0.3573,no
H Casement & Son,unknown,1847,1,12,18692.9,0.3572,no
W. & T. Devas & Co,unknown,1857,1,12,20600.8,0.3572,no
Puzey & Pallett,unknown,1847,1,12,23087.9,0.3572,no
Todhunter & Sancton,unknown,1847,1,12,17415.6,0.3571,no
Vivanti Annett & Co,unknown,1866,1,12,15058.3,0.3571,no
C Hancock C S,unknown,1847,1,12,16600.1,0.3571,no
Steven Brothers,unknown,1866,1,6,190961.6,0.3571,no
G Matveieff,unknown,1847,1,12,13855.4,0.3571,no
J Leonino & Co,unknown,1857,1,10,74117.9,0.3571,no
Laforest & Co,unknown,1847,1,12,9796.8,0.357,no
Sambourne & Bell,unknown,1847,1,12,8931.1,0.357,no
George Cross & Co,unknown,1866,1,12,11374.3,0.357,no
Fras Chambers,unknown,1847,1,12,10403.3,0.357,no
M L Bensusan & Co,unknown,1847,1,12,9960.9,0.357,no
J F Burrell,unknown,1847,1,12,11083.6,0.357,no
J M Waters,unknown,1847,1,12,10852.3,0.357,no
C Trueman & Co,unknown,1847,1,11,34054.3,0.3569,no
Edward Robinson,unknown,1847,1,11,33034.4,0.3569,no
Cassavetti C & Co,unknown,1847,1,11,27809.4,0.3568,no
Bradbury Greatorex & Co,unknown,1857,1,10,54910.1,0.3567,no
Union Bank Of Canada,clearing_or_joint_stock_bank,1914,1,7,142161.4,0.3567,no
National Bank Of India Ltd,foreign_or_colonial_financial,1914,1,2,290808.1,0.3567,no
J Bult Son & Co,unknown,1847,1,9,80572.4,0.3567,no
Kelsalls & Co,unknown,1847,1,10,54376.3,0.3567,no
W Mitcalfe,unknown,1847,1,11,24888.3,0.3567,no
"Soanes, Son & Page",unknown,1866,1,8,112536.3,0.3567,no
H F Wallaston,unknown,1847,1,11,20422.7,0.3566,no
Gilbert Kerr & Co,unknown,1866,1,11,19634.2,0.3566,no
T. W. Smith & Co,unknown,1857,1,11,22222.1,0.3566,no
Trimmer & Grainger,unknown,1866,1,11,20571.6,0.3566,no
Leaf Coles Smith & Co,unknown,1847,1,10,46947.4,0.3566,no
W. Rattray & Co,unknown,1866,1,11,15877.4,0.3565,no
Lackerstein J & Co,unknown,1847,1,11,15143.5,0.3565,no
Geo Soanes & Co,unknown,1857,1,10,44889.1,0.3565,no
B Simon & A Jacoby,unknown,1857,1,8,101706.3,0.3565,no
Edward Meyer,unknown,1847,1,10,44845.0,0.3565,no
J Deacon & Sons,unknown,1847,1,11,14233.9,0.3565,no
J Stuart & Son,unknown,1847,1,11,12645.8,0.3565,no
Hyde & Hodge & Co,unknown,1847,1,11,14903.2,0.3565,no
W E Franks & Son,unknown,1857,1,11,11307.1,0.3564,no
Aug: Wehmer,unknown,1866,1,11,8428.5,0.3564,no
Hugh Jones & Co,unknown,1866,1,11,8699.4,0.3564,no
Langton & Bicknell,unknown,1847,1,10,35790.8,0.3564,no
Jno Feltham & Co,unknown,1847,1,11,10304.6,0.3564,no
Keith Shoobridge & Co,unknown,1847,1,11,8104.0,0.3564,no
Allnutts & Arbain,unknown,1847,1,11,10650.2,0.3564,no
Wilson & Lancaster,unknown,1847,1,10,35645.7,0.3563,no
G Loder,unknown,1857,1,4,209526.2,0.3563,no
Stone & Gunter,unknown,1847,1,11,5759.3,0.3563,no
Lewellin Truman & Co,unknown,1847,1,10,35112.5,0.3563,no
J & T Hepburn & Sons,unknown,1866,1,10,27638.1,0.3562,no
Foster & Porter & Co,unknown,1847,1,10,29995.2,0.3562,no
Bennison Lermard,unknown,1857,1,9,55207.2,0.3562,no
Smith & Simmonds,unknown,1847,1,9,54405.7,0.3562,no
H.J. Enthoven & Sons,unknown,1866,1,8,89306.2,0.3562,no
Price Coker & Co,unknown,1857,1,10,25920.6,0.3562,no
Bradbury G & Co,unknown,1847,1,9,56988.8,0.3562,no
Glyn & Co O/A Union Bank Of Scotland,foreign_or_colonial_financial,1857,1,1,285729.9,0.3561,no
Walker Parker & Co,unknown,1847,1,9,54058.9,0.3561,no
John Mollett,unknown,1847,1,9,53395.0,0.3561,no
The London Brazilian Bank,clearing_or_joint_stock_bank,1866,1,1,282000.0,0.356,no
N E Bieber,unknown,1847,1,10,15609.1,0.356,no
J Harrison & Co,unknown,1847,1,10,16512.0,0.356,no
Turck Barclay & Co,clearing_or_joint_stock_bank,1857,1,10,16278.0,0.356,no
John Locke & Co,unknown,1847,1,10,16243.5,0.356,no
C Walton & Sons,unknown,1857,1,10,16462.0,0.356,no
G Soanes,unknown,1847,1,9,48198.6,0.356,no
A G Da Costa,unknown,1857,1,10,10678.6,0.3559,no
C Stainbank & Son,unknown,1847,1,10,14775.5,0.3559,no
Cockin & Seamer,unknown,1847,1,10,10443.8,0.3559,no
Matthew Bros & B,unknown,1847,1,10,11901.8,0.3559,no
T Shephens & Co,unknown,1847,1,10,11462.2,0.3559,no
Thomas & Chapman,unknown,1847,1,9,42194.4,0.3559,no
Thomas McGregor,unknown,1847,1,10,11665.8,0.3559,no
Roger Cunliffe,unknown,1847,1,8,72874.9,0.3559,no
Thurburn & Co,unknown,1847,1,9,42183.8,0.3559,no
W. Spotten & Co,unknown,1866,1,10,14756.2,0.3559,no
H. W. Elder & Son,unknown,1866,1,9,40914.8,0.3559,no
D. E. Power,unknown,1866,1,10,10848.4,0.3559,no
Aviesim & Co,unknown,1866,1,9,34595.9,0.3558,no
H & E Muggeridge,unknown,1847,1,10,8932.0,0.3558,no
Sam & Phillips & Co,unknown,1847,1,9,38166.0,0.3558,no
J P Thol & Co,unknown,1847,1,10,4677.5,0.3558,no
P Dickson & Co,unknown,1847,1,9,29366.6,0.3557,no
Byass & Son,unknown,1866,1,8,59925.4,0.3557,no
Cavan Brothers & Co,unknown,1857,1,6,115135.2,0.3556,no
John Pirie,unknown,1847,1,9,28466.5,0.3556,no
T. M. Comas & Co,unknown,1866,1,9,25732.0,0.3556,no
Imp Merchant Credit Limited,unknown,1866,1,4,175000.0,0.3556,no
H D & J Blyth & Green,unknown,1847,1,8,56940.4,0.3556,no
R. Cunliffe Son & Co,unknown,1866,1,4,170000.0,0.3555,no
Coulon & Co,unknown,1857,1,9,20085.6,0.3555,no
W Anderson Hunt & Co,unknown,1857,1,9,17352.0,0.3554,no
H A S & H Pigeon,unknown,1847,1,8,46262.4,0.3554,no
I F Pawson & Co,unknown,1857,1,8,47409.8,0.3554,no
H. W. Eaton,unknown,1866,1,6,103359.6,0.3554,no
Gillespie Churchill & Co,unknown,1866,1,8,42089.6,0.3554,no
Barker & Co,unknown,1847,1,9,13106.8,0.3554,no
T & W Smith,unknown,1866,1,9,14123.9,0.3554,no
Houghton Burnett & Co,unknown,1847,1,9,12408.5,0.3553,no
Howse & Mead,unknown,1857,1,9,11409.4,0.3553,no
Heywood & Co,unknown,1857,1,3,184334.5,0.3553,no
J Collinson,unknown,1857,1,9,8872.1,0.3553,no
Hood & Ward,unknown,1857,1,9,8022.6,0.3553,no
Richard Walford,unknown,1847,1,9,9983.5,0.3553,no
Hinton Brothers & Co,unknown,1857,1,9,9201.1,0.3553,no
Abet Brothers,unknown,1857,1,9,10802.1,0.3553,no
D. D. Cama & Co,unknown,1866,1,7,64075.0,0.3552,no
Sims Williams & Co,unknown,1847,1,8,32628.1,0.3552,no
Henry Kendall & Sons,unknown,1866,1,8,37603.0,0.3552,no
J & T Hepburn,unknown,1847,1,9,7556.3,0.3552,no
Price & Pierce Ltd,unknown,1914,1,7,64340.0,0.3552,no
Tanner & Ward,unknown,1847,1,9,5377.0,0.3552,no
Jacob Walter & Co,unknown,1914,1,7,63587.5,0.3552,no
Stiebel Bros,unknown,1847,1,8,34348.2,0.3552,no
Weber & Co,unknown,1847,1,8,36009.1,0.3552,no
H Cox & Co,unknown,1857,1,8,29488.1,0.3551,no
J. Mosenthal & Co,unknown,1866,1,8,29828.6,0.3551,no
W J & H Beale,unknown,1847,1,8,29656.7,0.3551,no
Chalmers G & Co,unknown,1847,1,7,58670.7,0.3551,no
P & C Van Notten & Co,unknown,1866,1,8,27388.0,0.3551,no
J Kingston & Co,unknown,1847,1,8,29769.1,0.3551,no
Norris & Chaplin,unknown,1866,1,8,30396.7,0.3551,no
"Bagallay, Westall & Spence",unknown,1866,1,8,25287.6,0.355,no
H Bull,unknown,1847,1,8,22370.7,0.355,no
T. Lowndes & Co,unknown,1866,1,8,24549.7,0.355,no
J W Cater Collett & Co,unknown,1847,1,8,22761.0,0.355,no
J D Thomson,unknown,1847,1,8,21446.4,0.355,no
Eyles Evans & Co,unknown,1857,1,8,18747.1,0.3549,no
Shaw & Caffary,unknown,1847,1,8,18127.4,0.3549,no
Brockelbank & Rolt,unknown,1857,1,8,16345.0,0.3548,no
F. Gade & Son,unknown,1866,1,8,15751.0,0.3548,no
J Gore & Co,unknown,1847,1,8,16135.8,0.3548,no
W. Vaughan & Co,unknown,1866,1,8,14278.9,0.3548,no
F. Bennoch & Co,unknown,1866,1,8,13279.6,0.3548,no
Ovingtons & Co,unknown,1847,1,8,11759.7,0.3548,no
Thomas Russell & Co,unknown,1847,1,8,13988.3,0.3548,no
Broadwood & Barclay,clearing_or_joint_stock_bank,1857,1,7,44659.9,0.3548,no
D Satow & Co,unknown,1847,1,8,11296.8,0.3548,no
J. & C. Boyd & Co,unknown,1857,1,7,44251.3,0.3548,no
H & E Downs,unknown,1847,1,8,13195.9,0.3548,no
Frederick Harrison & Co,unknown,1847,1,8,11162.6,0.3548,no
Bedwell Yates & Co,unknown,1847,1,8,8317.5,0.3547,no
Spalding & Hodges,unknown,1857,1,8,8668.4,0.3547,no
L. Hart & Son,unknown,1866,1,7,36609.2,0.3547,no
Esdaile & Co,unknown,1866,1,8,8331.6,0.3547,no
"Copestake Moore, Crampton & Co",unknown,1857,1,7,35890.5,0.3547,no
Barclay & Friend,clearing_or_joint_stock_bank,1847,1,8,8721.2,0.3547,no
W. E. Franks & Son,unknown,1866,1,8,8667.4,0.3547,no
Alison Cumberlege & Co,unknown,1847,1,7,38329.4,0.3547,no
F Castelli,unknown,1857,1,8,7628.8,0.3547,no
Josh Jackson S & Co,unknown,1847,1,8,7416.0,0.3547,no
Northumberland & Durham Coal Co,unknown,1857,1,8,8870.5,0.3547,no
Fenn Kemm & Fenn,unknown,1857,1,8,9267.3,0.3547,no
W & I Hall & Co,unknown,1866,1,7,31329.1,0.3546,no
Fullers & Co,unknown,1847,1,5,89330.9,0.3546,no
"Crocker, Sons & Turner",unknown,1866,1,7,30892.0,0.3546,no
Jno Cape,unknown,1847,1,8,4209.1,0.3546,no
J Littlewood & Co,unknown,1847,1,8,5882.0,0.3546,no
Rodocanachi S & Co,unknown,1847,1,7,30937.7,0.3546,no
James Fowa,unknown,1857,1,6,63486.1,0.3546,no
Robert Benson & Co,unknown,1866,1,4,115514.8,0.3545,no
Blyth & Greene,unknown,1847,1,7,29314.8,0.3545,no
Bardgett & Picard,unknown,1857,1,7,20954.5,0.3544,no
"Kess, Scott & Co",unknown,1866,1,7,22517.6,0.3544,no
H Pollacks Erben,unknown,1847,1,7,21122.3,0.3544,no
A & J Hill,unknown,1847,1,7,15566.2,0.3543,no
B W Laroche,unknown,1847,1,7,15864.8,0.3543,no
C Tottie & Sons,unknown,1857,1,7,18483.7,0.3543,no
Rob & Carter & Co,unknown,1847,1,7,15391.1,0.3543,no
J Lunham & Co,unknown,1847,1,7,16898.9,0.3543,no
T R & W Browning & Co,unknown,1847,1,7,15789.0,0.3543,no
John Gladstone & Co,unknown,1857,1,7,17700.5,0.3543,no
John Hubbard & Co,unknown,1866,1,6,46897.1,0.3543,no
London & Venezuela Bank Limited,clearing_or_joint_stock_bank,1866,1,6,41011.0,0.3542,no
"Ellis, Howell & Co",unknown,1866,1,6,43867.4,0.3542,no
E Bernoulli,unknown,1847,1,7,10070.8,0.3542,no
T P Lloyd & Co,unknown,1847,1,7,11477.8,0.3542,no
Dickson Bros & Co,unknown,1847,1,7,14995.0,0.3542,no
Churchill & Son,unknown,1847,1,6,44410.4,0.3542,no
Swewells & Neck,unknown,1857,1,6,44537.6,0.3542,no
Rayner & Co,unknown,1866,1,7,14037.5,0.3542,no
L Bunn & Co,unknown,1857,1,7,12765.6,0.3542,no
"Quenene, Furney & Co",unknown,1857,1,2,157927.1,0.3542,no
Phillips & Burton,unknown,1847,1,7,11323.7,0.3542,no
William Leask,unknown,1857,1,7,13096.4,0.3542,no
Hardcastle & Co.,unknown,1866,1,7,11791.0,0.3542,no
Higgins Eagle & Hutchinson,unknown,1866,1,7,11417.5,0.3542,no
W N De Mattos,unknown,1857,1,7,10400.2,0.3542,no
James Matthews & Co,unknown,1866,1,7,12559.7,0.3542,no
C & W Brunshill,unknown,1847,1,7,9948.0,0.3542,no
Fras Ede & Son,unknown,1847,1,7,11586.3,0.3542,no
I B W Nevill & Co,unknown,1857,1,7,13898.0,0.3542,no
Vaughan & Sheldon,unknown,1847,1,7,11694.7,0.3542,no
Sellicoe & Wix,unknown,1847,1,7,11726.9,0.3542,no
W Venning & Co,unknown,1847,1,7,9960.0,0.3542,no
J Hartley & Co,unknown,1857,1,7,9028.8,0.3541,no
Z Harris & Sons,unknown,1847,1,7,7657.5,0.3541,no
Fras Rebello,unknown,1847,1,7,7126.8,0.3541,no
Thomas Urwick Son & D,unknown,1847,1,7,6809.8,0.3541,no
Mitchell Yeames & Co,unknown,1866,1,5,65324.2,0.3541,no
Jas Renshaw & Co,unknown,1847,1,7,9684.5,0.3541,no
W Leschallas,unknown,1847,1,7,7256.9,0.3541,no
"Dennistoun, Cross & Co",unknown,1866,1,4,97344.6,0.3541,no
M J Soares,unknown,1847,1,7,8732.5,0.3541,no
Pickernell Bros,unknown,1847,1,7,4334.4,0.354,no
"Tamvaco, Micrulachi & Co",unknown,1866,1,6,31521.1,0.354,no
I.H.H. Holm,unknown,1866,1,6,31678.8,0.354,no
Graham Tobias & Co,unknown,1857,1,6,25755.9,0.3539,no
"Iwing, Ebsworth & Holmes",unknown,1866,1,5,50642.9,0.3538,no
Rehder & Baldemann,unknown,1857,1,6,18197.9,0.3538,no
N Garrett & Sons,unknown,1866,1,6,19799.4,0.3538,no
N Cohen,unknown,1857,1,5,52029.9,0.3538,no
L H Haslewood,unknown,1847,1,6,23823.7,0.3538,no
C Sutherland & Co,unknown,1857,1,6,23410.5,0.3538,no
Robert Christie & Co,unknown,1866,1,6,13986.4,0.3537,no
Royal Bank Of Canada,clearing_or_joint_stock_bank,1914,1,2,135458.0,0.3537,no
Jno Schneider & Co,unknown,1847,1,5,44278.9,0.3537,no
N Fisher & Sons,unknown,1866,1,6,16024.1,0.3537,no
Thomson Hankey & Co,unknown,1847,1,6,16929.6,0.3537,no
E Wigan & Co,unknown,1847,1,5,44877.3,0.3537,no
George Smeed,unknown,1866,1,6,14646.3,0.3537,no
"Gellatly, Hankey & Sewell",unknown,1866,1,6,18031.1,0.3537,no
Jeff Pelly,unknown,1847,1,6,16148.0,0.3537,no
Pye Field & T,unknown,1847,1,6,12745.9,0.3536,no
James Wiseman,unknown,1866,1,6,12552.9,0.3536,no
Swindell Matthews & Sendall,unknown,1866,1,6,13036.6,0.3536,no
W B Hutton & Sons,unknown,1847,1,6,10357.9,0.3536,no
Lascaridi & Co,unknown,1857,1,6,12359.4,0.3536,no
Lat Discount Co Lo,unknown,1857,1,3,100272.1,0.3536,no
Montoya S & Co,unknown,1847,1,5,38155.4,0.3536,no
Bennock & T,unknown,1847,1,6,13351.8,0.3536,no
Christopher Sutherland,unknown,1847,1,6,9751.9,0.3536,no
H Hewetson,unknown,1847,1,6,8981.2,0.3536,no
James Norris,unknown,1857,1,6,7992.5,0.3535,no
D W Wetton & Co,unknown,1847,1,6,8225.4,0.3535,no
N Anderson Son & Co,unknown,1847,1,6,5308.5,0.3535,no
John Fair & Co,unknown,1866,1,5,34466.2,0.3535,no
Wilson Swale & Co,unknown,1866,1,6,8265.0,0.3535,no
J Stephens & Co,unknown,1847,1,6,8058.2,0.3535,no
Cockerell & Co,unknown,1847,1,4,65763.2,0.3535,no
D Harris & Sons,unknown,1847,1,6,6240.3,0.3535,no
Josh Stuart & Son,unknown,1847,1,6,4981.0,0.3535,no
J Lackerstein & Sons,unknown,1847,1,6,7987.6,0.3535,no
F H & J J Wawn,unknown,1847,1,6,5447.9,0.3535,no
Elder Stevens & Co,unknown,1866,1,6,8775.8,0.3535,no
Lester & Buskin,unknown,1857,1,6,8648.3,0.3535,no
Puget & Co,unknown,1847,1,5,32369.7,0.3535,no
A. Mongredien & Co,unknown,1866,1,5,26447.0,0.3534,no
"Rose, Graham & Wilson",unknown,1866,1,5,28586.6,0.3534,no
Weston & Co,unknown,1866,1,5,31000.0,0.3534,no
H D Greverus,unknown,1847,1,5,25148.4,0.3533,no
J & A Crocker,unknown,1857,1,5,24516.0,0.3533,no
Jno Anderson & Sons,unknown,1847,1,5,23176.9,0.3533,no
Hoare Buxton & Co,unknown,1857,1,4,52019.3,0.3533,no
Siordet Meyer & Co,unknown,1857,1,5,23694.7,0.3533,no
B. Jubini & Co,unknown,1866,1,5,23873.9,0.3533,no
"Pye, Field & Co",unknown,1866,1,5,16146.6,0.3532,no
Sapte & Co,unknown,1847,1,4,48860.2,0.3532,no
Baltazzi Sons & Co,unknown,1857,1,5,17748.9,0.3532,no
R. W. Kennard & Co,unknown,1866,1,5,16264.7,0.3532,no
Edwards Chuck,unknown,1847,1,5,19661.6,0.3532,no
Young Harrison & Co,unknown,1847,1,5,17164.6,0.3532,no
L Engstrom L & Co,unknown,1847,1,5,17421.2,0.3532,no
Samuel Courtaula & Co,unknown,1866,1,5,17535.5,0.3532,no
J. Kynaston & Sons,unknown,1866,1,5,20538.9,0.3532,no
Spicer Brothers,unknown,1857,1,5,17966.1,0.3532,no
"Barker, Benwell & Co.",unknown,1866,1,2,110000.0,0.3532,no
T Kinnersley & Sons,unknown,1847,1,4,47500.0,0.3532,no
Thompson & Pattinson,unknown,1866,1,5,17515.3,0.3532,no
Stealfeild Lancence,unknown,1857,1,4,41142.0,0.3531,no
Gould Davis & M,unknown,1847,1,5,15184.0,0.3531,no
John Horstman,unknown,1847,1,4,45733.3,0.3531,no
J. H. Rudall & Son,unknown,1866,1,5,13551.7,0.3531,no
Jas Campbell B S,unknown,1847,1,5,15100.8,0.3531,no
John Feltham & Co,unknown,1857,1,5,12205.5,0.3531,no
Harrison & Hardcastle,unknown,1847,1,5,11336.9,0.3531,no
Ollier & Co,unknown,1866,1,5,11782.2,0.3531,no
P R Poland & Son,unknown,1847,1,5,12397.2,0.3531,no
Jas Bischoff & Sons,unknown,1847,1,5,6970.5,0.353,no
C Joyce,unknown,1847,1,5,5797.7,0.353,no
Jos Stuart & Son,unknown,1847,1,5,7695.0,0.353,no
Clay & Gillman,unknown,1847,1,5,5772.9,0.353,no
Laurie Hamilton & Co,unknown,1847,1,5,7167.8,0.353,no
Rob Chuter,unknown,1847,1,5,5977.1,0.353,no
Samuel Gibson,unknown,1866,1,5,8614.8,0.353,no
W C Braddon,unknown,1847,1,5,9859.3,0.353,no
"B Smith, Duke",unknown,1847,1,5,8046.2,0.353,no
C J Mare & Co,unknown,1847,1,5,9507.2,0.353,no
Ricketts Boutcher & Co,unknown,1857,1,4,35981.8,0.353,no
H Sillem Son & Co,unknown,1847,1,4,39723.6,0.353,no
H. Butler & Son,unknown,1866,1,5,9900.0,0.353,no
W & H Brand & Co,unknown,1857,1,5,7638.2,0.353,no
Charleton & Watson,unknown,1847,1,5,8348.5,0.353,no
Richard Hallett & Sons,unknown,1847,1,5,9982.0,0.353,no
E. Lloyd & Co,unknown,1866,1,5,9915.6,0.353,no
Jno Mair,unknown,1847,1,5,6961.5,0.353,no
Bery Lawrence,unknown,1847,1,5,7231.0,0.353,no
Thomas Kettlewell,unknown,1847,1,5,6885.6,0.353,no
H Sherwood Co,unknown,1914,1,1,123022.2,0.353,no
Foster Porter & Co,unknown,1857,1,4,33454.6,0.3529,no
C S Fowler,unknown,1847,1,5,4799.1,0.3529,no
John Rapp & Co,unknown,1857,1,4,34399.6,0.3529,no
W & J Kynaston,unknown,1847,1,5,5366.6,0.3529,no
Forman & Hadow,unknown,1847,1,5,5689.0,0.3529,no
W Oswald,unknown,1847,1,5,5579.7,0.3529,no
B Smith Greenwich,unknown,1847,1,5,4197.8,0.3529,no
F. De Lizardi & Co,unknown,1866,1,4,33830.4,0.3529,no
John Constable,unknown,1847,1,5,5138.8,0.3529,no
Manning & A,unknown,1847,1,4,32765.8,0.3529,no
"Prince, Ogg & Co",unknown,1866,1,4,31987.0,0.3529,no
Copestake Moore & Co,unknown,1866,1,4,32732.1,0.3529,no
Mayniae & Co,unknown,1847,1,3,62874.0,0.3529,no
G S Cundell,unknown,1847,1,5,4575.0,0.3529,no
Donaldson Lambert & Co,unknown,1866,1,4,28140.0,0.3528,no
English Joint & Stock Bank Limited,clearing_or_joint_stock_bank,1866,1,3,58000.0,0.3528,no
Hanson Bros & Co,unknown,1847,1,4,27768.8,0.3528,no
L J Enthoven & Co,unknown,1847,1,4,26066.4,0.3528,no
Standard Bank Of Africa Limited,foreign_or_colonial_financial,1866,1,4,27407.4,0.3528,no
Rt Lowes & Co,unknown,1857,1,2,79212.0,0.3527,no
Bank Of Egypt,foreign_or_colonial_financial,1857,1,3,54201.6,0.3527,no
W Jackson & Co,unknown,1866,1,4,21350.8,0.3527,no
"Heilbut, Symons & Co",unknown,1866,1,4,19241.7,0.3526,no
A. L. Elder,unknown,1866,1,3,48583.7,0.3526,no
Alexander Bell,unknown,1847,1,4,20000.1,0.3526,no
John Armitage & Co,unknown,1866,1,4,18300.0,0.3526,no
Daniel Hawkins,unknown,1857,1,4,16580.0,0.3526,no
Morgan Yellibrand & Co,merchant_bank,1914,1,4,17665.8,0.3526,no
"Bennoch, Twentyman & Rigg",unknown,1857,1,4,13591.4,0.3525,no
Spicer Bros,unknown,1847,1,4,10447.7,0.3525,no
R Farrand,unknown,1847,1,4,11886.1,0.3525,no
Hoge & Williamson,unknown,1857,1,3,43469.4,0.3525,no
Sieveking Droop & Co,unknown,1866,1,4,14112.5,0.3525,no
John Tellham & Co,unknown,1857,1,4,11139.1,0.3525,no
Harryman & White,unknown,1857,1,4,14193.2,0.3525,no
E. C. M Da Costa,unknown,1866,1,4,14185.9,0.3525,no
Vagliano Brothers,unknown,1866,1,4,14575.0,0.3525,no
Sanderman F & Co,unknown,1847,1,4,12808.3,0.3525,no
J. Gaury & Co,unknown,1866,1,4,12817.9,0.3525,no
