crisis,name,n_counterparties,total_value_m,top1_share,top5_share,top10_share,hhi,gini
1857,1857 Panic,581,24982546.725,0.14438336570348193,0.41744774361069464,0.5171150004123528,503.333269057915,0.8456576657344186
1866,1866 Overend Gurney,524,21374002.104999997,0.044214360762083404,0.1920431526971631,0.3249262499312363,153.56429060731338,0.7955694561690113
1914,1914 WWI outbreak,202,134819804.4,0.07273189271887119,0.28267079150279495,0.4590948249996126,295.6110683242907,0.7992090682745435
