series,date,nearest_crisis,days_to_crisis_peak
bank_rate_daily,1874-11-16,1866,3111
bank_rate_daily,1874-12-01,1866,3126
bank_rate_daily,1875-01-05,1866,3161
bank_rate_daily,1875-01-25,1866,3181
bank_rate_daily,1875-02-19,1866,3206
bank_rate_daily,1875-07-09,1866,3346
bank_rate_daily,1875-08-08,1866,3376
bank_rate_daily,1875-10-12,1866,3441
bank_rate_daily,1875-11-16,1866,3476
bank_rate_daily,1876-01-05,1866,3526
bank_rate_daily,1876-01-25,1866,3546
bank_rate_daily,1876-03-25,1866,3606
bank_rate_daily,1876-04-19,1866,3631
bank_rate_daily,1877-05-04,1866,4011
bank_rate_daily,1877-07-08,1866,4076
bank_rate_daily,1877-08-27,1866,4126
bank_rate_daily,1877-10-06,1866,4166
bank_rate_daily,1877-11-30,1866,4221
bank_rate_daily,1878-01-09,1866,4261
bank_rate_daily,1878-01-29,1866,4281
bank_rate_daily,1878-03-25,1866,4336
bank_rate_daily,1878-05-29,1866,4401
bank_rate_daily,1878-07-03,1866,4436
bank_rate_daily,1878-08-12,1866,4476
bank_rate_daily,1878-10-11,1890,4418
bank_rate_daily,1878-11-20,1890,4378
bank_rate_daily,1879-01-14,1890,4323
bank_rate_daily,1879-01-29,1890,4308
bank_rate_daily,1879-03-10,1890,4268
bank_rate_daily,1879-04-09,1890,4238
bank_rate_daily,1879-11-05,1890,4028
bank_rate_daily,1880-06-17,1890,3803
bank_rate_daily,1880-12-09,1890,3628
bank_rate_daily,1881-01-13,1890,3593
bank_rate_daily,1881-02-17,1890,3558
bank_rate_daily,1881-04-28,1890,3488
bank_rate_daily,1881-08-21,1890,3373
bank_rate_daily,1881-10-05,1890,3328
bank_rate_daily,1882-01-28,1890,3213
bank_rate_daily,1882-02-22,1890,3188
bank_rate_daily,1882-03-09,1890,3173
bank_rate_daily,1882-03-24,1890,3158
bank_rate_daily,1882-08-16,1890,3013
bank_rate_daily,1882-09-15,1890,2983
bank_rate_daily,1883-01-23,1890,2853
bank_rate_daily,1883-02-27,1890,2818
bank_rate_daily,1883-05-08,1890,2748
bank_rate_daily,1883-09-25,1890,2608
bank_rate_daily,1884-02-07,1890,2473
bank_rate_daily,1884-03-13,1890,2438
bank_rate_daily,1884-04-02,1890,2418
bank_rate_daily,1884-06-16,1890,2343
bank_rate_daily,1884-10-09,1890,2228
bank_rate_daily,1884-11-03,1890,2203
bank_rate_daily,1885-01-27,1890,2118
bank_rate_daily,1885-03-18,1890,2068
bank_rate_daily,1885-05-07,1890,2018
bank_rate_daily,1885-05-27,1890,1998
bank_rate_daily,1885-11-13,1890,1828
bank_rate_daily,1885-12-18,1890,1793
bank_rate_daily,1886-01-22,1890,1758
bank_rate_daily,1886-02-16,1890,1733
bank_rate_daily,1886-05-07,1890,1653
bank_rate_daily,1886-06-11,1890,1618
bank_rate_daily,1886-08-25,1890,1543
bank_rate_daily,1886-10-19,1890,1488
bank_rate_daily,1886-12-13,1890,1433
bank_rate_daily,1887-02-01,1890,1383
bank_rate_daily,1887-03-23,1890,1333
bank_rate_daily,1887-04-27,1890,1298
bank_rate_daily,1887-08-05,1890,1198
bank_rate_daily,1887-08-30,1890,1173
bank_rate_daily,1888-01-12,1890,1038
bank_rate_daily,1888-02-16,1890,1003
bank_rate_daily,1888-03-12,1890,978
bank_rate_daily,1888-05-11,1890,918
bank_rate_daily,1888-06-05,1890,893
bank_rate_daily,1888-08-09,1890,828
bank_rate_daily,1888-09-13,1890,793
bank_rate_daily,1888-10-03,1890,773
bank_rate_daily,1889-01-11,1890,673
bank_rate_daily,1889-01-26,1890,658
bank_rate_daily,1889-04-16,1890,578
bank_rate_daily,1889-08-09,1890,463
bank_rate_daily,1889-08-29,1890,443
bank_rate_daily,1889-09-23,1890,418
bank_rate_daily,1889-12-27,1890,323
bank_rate_daily,1890-02-20,1890,268
bank_rate_daily,1890-03-12,1890,248
bank_rate_daily,1890-04-16,1890,213
bank_rate_daily,1890-06-25,1890,143
bank_rate_daily,1890-07-30,1890,108
bank_rate_daily,1890-08-19,1890,88
bank_rate_daily,1890-09-23,1890,53
bank_rate_daily,1890-11-07,1890,8
bank_rate_daily,1890-12-02,1890,17
bank_rate_daily,1891-01-06,1890,52
bank_rate_daily,1891-01-26,1890,72
bank_rate_daily,1891-04-16,1890,152
bank_rate_daily,1891-05-11,1890,177
bank_rate_daily,1891-06-05,1890,202
bank_rate_daily,1891-06-20,1890,217
bank_rate_daily,1891-09-23,1890,312
bank_rate_daily,1891-10-28,1890,347
bank_rate_daily,1891-12-07,1890,387
bank_rate_daily,1892-01-21,1890,432
bank_rate_daily,1892-04-05,1890,507
bank_rate_daily,1892-04-25,1890,527
bank_rate_daily,1892-10-17,1890,702
bank_rate_daily,1893-01-25,1890,802
bank_rate_daily,1893-05-10,1890,907
bank_rate_daily,1893-06-09,1890,937
bank_rate_daily,1893-08-08,1890,997
bank_rate_daily,1893-08-23,1890,1012
bank_rate_daily,1893-09-12,1890,1032
bank_rate_daily,1893-10-02,1890,1052
bank_rate_daily,1894-01-30,1890,1172
bank_rate_daily,1894-02-19,1890,1192
bank_rate_daily,1896-09-11,1890,2127
bank_rate_daily,1896-10-21,1890,2167
bank_rate_daily,1897-02-03,1890,2272
bank_rate_daily,1897-04-09,1890,2337
bank_rate_daily,1897-05-14,1890,2372
bank_rate_daily,1897-09-21,1890,2502
bank_rate_daily,1897-10-11,1890,2522
bank_rate_daily,1898-04-04,1890,2697
bank_rate_daily,1898-05-24,1890,2747
bank_rate_daily,1898-06-28,1890,2782
bank_rate_daily,1898-09-21,1890,2867
bank_rate_daily,1898-10-11,1890,2887
bank_rate_daily,1899-01-29,1890,2997
bank_rate_daily,1899-07-13,1890,3162
bank_rate_daily,1899-10-01,1890,3242
bank_rate_daily,1899-11-30,1890,3302
bank_rate_daily,1900-01-09,1890,3342
bank_rate_daily,1900-01-24,1890,3357
bank_rate_daily,1900-05-24,1890,3477
