crisis,trigger_date,horizon_weeks,detected,first_alert_date,lead_weeks,n_alert_weeks_in_pre_window,max_risk_pre,mean_risk_pre,threshold,false_alarms_per_decade_quiet
1857,1857-11-12,8,False,,,0,0.7403712797620544,0.5123156535103621,0.8941,10.07
1866,1866-05-11,8,False,,,0,0.8102874003638039,0.5276016541641944,0.926,10.07
1890,1890-11-15,8,False,,,0,0.6997783860240282,0.28540835035668105,0.9206,10.07
1914,1914-08-06,8,False,,,0,0.1387823575545893,0.03224676743403018,0.9607,10.07
1857,1857-11-12,12,False,,,0,0.8743594020751259,0.5743595594834894,0.9063,10.12
1866,1866-05-11,12,True,1866-02-28,10.285714285714286,1,0.9277539946581594,0.559749519897249,0.9115,10.12
1890,1890-11-15,12,False,,,0,0.7089288569559693,0.28518220058813143,0.9253,10.12
1914,1914-08-06,12,False,,,0,0.1456774792875435,0.022428746283425397,0.9695,10.12
