counterparty_clean,actor_category,class_confidence,n_transactions,total_amount,crises
Spartali & Co,unknown,0.2,8,53709.23,"1857,1866"
Bevington & Morris,unknown,0.2,40,53693.415,"1847,1857,1866"
R Smith & Co,unknown,0.2,6,53406.9,1857
John Mollett,unknown,0.2,9,53394.985,1847
R B Byass,unknown,0.2,76,52471.6225,1847
Mildred Goyeneche & Co,unknown,0.2,4,52289.4,1866
Price & Co For The Bedford,unknown,0.2,1,52116.3,1866
Pinto Perez & Co,unknown,0.2,24,52044.799999999996,"1847,1857"
N Cohen,unknown,0.2,5,52029.9,1857
Hoare Buxton & Co,unknown,0.2,4,52019.33,1857
W Cater,unknown,0.2,44,51942.745,1847
Alston Bevan & Co,unknown,0.2,26,51791.63,1847
Bank Of British West Africa Ltd,foreign_or_colonial_financial,0.7,5,51756.0,1914
Spalding & Hodge,unknown,0.2,28,51697.5625,"1847,1866"
Thomas Tapling & Co,unknown,0.2,29,51033.125,1857
Mildred Goyenchi & Co,unknown,0.2,2,50968.45,1914
C. Bailey,unknown,0.2,3,50802.36,1866
"Iwing, Ebsworth & Holmes",unknown,0.2,5,50642.92,1866
Trumpler & R,unknown,0.2,23,50370.2325,1847
Fenn Kemm & Co,unknown,0.2,40,50223.7725,1847
Smith Payne & Smiths,merchant_bank,0.85,1,50000.0,1857
Mullens Marshall & Co,unknown,0.2,1,50000.0,1857
Vyse Sons & Co,unknown,0.2,19,49826.54,1866
Caldecott P & Co,unknown,0.2,15,49639.2525,1847
H & D Sharpe,unknown,0.2,73,49561.34,"1847,1857"
Cole Nichols & Co,unknown,0.2,15,49249.835,"1847,1857"
Nestle Andreas & Co,unknown,0.2,30,49232.83,1847
J Shears & Sons,unknown,0.2,23,49223.5025,1847
Weston + Laurie,unknown,0.2,6,49070.2,1857
Somes Mullens & Co,unknown,0.2,18,48865.36,"1857,1866"
Sapte & Co,unknown,0.2,4,48860.2,1847
A. L. Elder,unknown,0.2,3,48583.67,1866
S .Japhet Co,unknown,0.2,2,48500.0,1914
G Soanes,unknown,0.2,9,48198.6075,1847
J G Behrends,unknown,0.2,16,48181.295,1847
Streckeisen Bischoff & Co,unknown,0.2,13,47850.83,1866
Henry Clarke & Co,unknown,0.2,22,47600.21,1866
A Nichol & Son,unknown,0.2,42,47578.085,1847
Bateman & Co,unknown,0.2,2,47501.02,1866
T Kinnersley & Sons,unknown,0.2,4,47500.0,1847
I F Pawson & Co,unknown,0.2,8,47409.84,1857
Fore Street Warehouse & Co Limited,unknown,0.2,2,47334.43,1866
E Price & Co,unknown,0.2,16,47253.759999999995,1847
Rob B Byass,unknown,0.2,16,47123.94,1857
English & Swedish Bank Limited,clearing_or_joint_stock_bank,0.7,3,47062.28,1866
Leaf Coles Smith & Co,unknown,0.2,10,46947.424,1847
John Hubbard & Co,unknown,0.2,6,46897.119999999995,1866
Schuezler & Co,unknown,0.2,34,46743.525,1847
Henchell D & Co,unknown,0.2,16,46728.3375,1847
Richard Hooper & Sons,unknown,0.2,14,46712.13,1866
R. B. Byass,unknown,0.2,15,46562.84,1866
Reade & Grove,unknown,0.2,21,46483.6775,1847
G Hitchcock & Co,unknown,0.2,19,46419.755,"1847,1857"
De Lannoy & Nash,unknown,0.2,26,46397.465,1847
H. S. Lefevre & Co,unknown,0.2,4,46328.4,1866
William Deacon & Co For The Northampton Union Bank,clearing_or_joint_stock_bank,0.7,1,46322.1,1866
R Cunliffes & Co,unknown,0.2,3,46262.8,1857
H A S & H Pigeon,unknown,0.2,8,46262.4125,1847
Stone & Kemp,unknown,0.2,14,46153.02,1847
E Busch & Co,unknown,0.2,16,46094.612499999996,1847
B T Laveo & Co,unknown,0.2,1,45834.39,1857
Woverhamption & Staffordshire Banking Corporation By ?,unknown,0.2,1,45756.0,1857
John Horstman,unknown,0.2,4,45733.32,1847
F Harrison & Co,unknown,0.2,33,45652.3725,"1847,1857"
C Buschek,unknown,0.2,26,45601.869999999995,1847
P Hava & Co,unknown,0.2,12,45477.840000000004,"1847,1857"
Palmer Mackillop Dent & Co,unknown,0.2,1,45000.0,1857
Geo Soanes & Co,unknown,0.2,10,44889.125,1857
E Wigan & Co,unknown,0.2,5,44877.335,1847
Edward Meyer,unknown,0.2,10,44845.0,1847
Broadwood & Barclay,clearing_or_joint_stock_bank,0.7,7,44659.86,1857
Cj Hamlin & Sons,unknown,0.2,2,44622.0,1857
Swewells & Neck,unknown,0.2,6,44537.6,1857
Churchill & Son,unknown,0.2,6,44410.39,1847
Jno Schneider & Co,unknown,0.2,5,44278.86,1847
J. & C. Boyd & Co,unknown,0.2,7,44251.295,1857
G.F. Neame Co,unknown,0.2,3,44054.350000000006,1914
"Ellis, Howell & Co",unknown,0.2,6,43867.409999999996,1866
Hoge & Williamson,unknown,0.2,3,43469.4,1857
W Jameson & Son,unknown,0.2,25,43263.44,"1847,1857"
J R Jaffray & Co,unknown,0.2,21,42738.0,1857
A Macdonald & Co,unknown,0.2,15,42553.810000000005,1847
Nathaniel Cohen,unknown,0.2,5,42495.7,"1857,1866"
Williams Overbury & Co,unknown,0.2,10,42335.700000000004,1866
Mccalmont Bros & Co,unknown,0.2,2,42273.0,1866
Thomas & Chapman,unknown,0.2,9,42194.4,1847
Thurburn & Co,unknown,0.2,9,42183.85,1847
Gillespie Churchill & Co,unknown,0.2,8,42089.56,1866
W Mallaliew & Co,unknown,0.2,24,42015.11,1866
Fowler Neph & Co,unknown,0.2,3,41514.92,1847
T.M. Mackay & Co,unknown,0.2,12,41439.04,1866
T. R. Merton,unknown,0.2,3,41302.2,1914
Josh Dowson & Co,unknown,0.2,15,41205.12,1847
Welch Margetson & Co,unknown,0.2,18,41195.8675,"1847,1857"
Stealfeild Lancence,unknown,0.2,4,41141.955,1857
James Lang,unknown,0.2,14,41067.1,1857
London & Venezuela Bank Limited,clearing_or_joint_stock_bank,0.7,6,41010.96,1866
H. W. Elder & Son,unknown,0.2,9,40914.799999999996,1866
European Bank Limited,clearing_or_joint_stock_bank,0.7,4,40655.8,1866
Moses Brothers,unknown,0.2,13,40285.24,"1857,1866"
W Klein,unknown,0.2,15,40035.54,"1857,1866"
Dwindale & Ho,unknown,0.2,1,40000.0,1866
H Sillem Son & Co,unknown,0.2,4,39723.585,1847
Scheibler & Coenen,unknown,0.2,16,39671.22,1866
James Steains & Co,unknown,0.2,13,39511.450000000004,1866
J Ruth & Co,unknown,0.2,1,38597.579999999994,1847
Dimsdale & Co,unknown,0.2,1,38475.9,1857
Alison Cumberlege & Co,unknown,0.2,7,38329.424999999996,1847
Adams & Co,unknown,0.2,13,38309.95,1847
Sam & Phillips & Co,unknown,0.2,9,38166.009999999995,1847
Lemon Hart & Son,unknown,0.2,9,38159.685,"1847,1866"
Montoya S & Co,unknown,0.2,5,38155.42,1847
Sadler Harrison & Co,unknown,0.2,20,37798.925,1847
Henry Kendall & Sons,unknown,0.2,8,37603.01,1866
Merchant Bank & Co Limited,clearing_or_joint_stock_bank,0.4,2,37537.119999999995,1866
Rossetto Carati & Co,unknown,0.2,13,37475.895,1847
English Scottish & Australian Bank Limited,clearing_or_joint_stock_bank,0.7,2,37000.0,1866
Dennistoun Cross & Co,unknown,0.2,2,36836.8,1857
L. Hart & Son,unknown,0.2,7,36609.19,1866
Weber & Co,unknown,0.2,8,36009.11,1847
James & Brown,unknown,0.2,1,35987.9,1914
Ricketts Boutcher & Co,unknown,0.2,4,35981.81,1857
"Copestake Moore, Crampton & Co",unknown,0.2,7,35890.479999999996,1857
Pinto Leite & Nephews,unknown,0.2,4,35807.399999999994,1914
Langton & Bicknell,unknown,0.2,10,35790.755,1847
Frullen Baubury & Co,unknown,0.2,1,35686.8,1866
Wilson & Lancaster,unknown,0.2,10,35645.6625,1847
G. J. Smith For The Shropshire Banking Coy,unknown,0.2,2,35602.7,1866
David Sasson & Co Ld,unknown,0.2,1,35195.6,1914
Lewellin Truman & Co,unknown,0.2,10,35112.457500000004,1847
Egyptian Commercial Trading Coy,unknown,0.2,3,35028.9,1866
H. Bath & Son,unknown,0.2,9,34991.1,1866
Mangles & Co,unknown,0.2,15,34764.87,"1847,1857"
Aviesim & Co,unknown,0.2,9,34595.909999999996,1866
Natl Bk Of Belgium,unknown,0.2,3,34546.85,1914
Cox Heisch & Co,unknown,0.2,6,34516.3725,"1847,1857,1866"
Ebbw Vale & Co,unknown,0.2,2,34500.0,1857
John Fair & Co,unknown,0.2,5,34466.18,1866
Joseph Anderson & Son,unknown,0.2,12,34443.93,1866
John Rapp & Co,unknown,0.2,4,34399.55,1857
Laing & Bruxner,unknown,0.2,14,34389.3525,1847
The Oriental Br Corps,unknown,0.2,1,34380.0,1857
I.K. Gilliat & Co,unknown,0.2,1,34348.54,1866
Stiebel Bros,unknown,0.2,8,34348.18,1847
Arbuthnot Latham Co,unknown,0.2,3,34247.5,1914
Miller & Potter,unknown,0.2,40,34239.35,"1847,1857"
C Trueman & Co,unknown,0.2,11,34054.305,1847
Kleinwort & Cohen,merchant_bank,0.85,3,33930.9,1857
F. De Lizardi & Co,unknown,0.2,4,33830.36,1866
Conway Phelps & Hayward,unknown,0.2,18,33700.755,"1857,1866"
Foster Porter & Co,unknown,0.2,4,33454.565,1857
White Son & Co,unknown,0.2,18,33450.69,"1857,1866"
D.Sasson Co Ltd,unknown,0.2,1,33251.9,1914
Edward Robinson,unknown,0.2,11,33034.39,1847
Manning & A,unknown,0.2,4,32765.795,1847
Delhi & London Bank Ltd,clearing_or_joint_stock_bank,0.7,1,32758.059999999998,1914
Copestake Moore & Co,unknown,0.2,4,32732.08,1866
John Gladstone,unknown,0.2,22,32684.415,1847
Sims Williams & Co,unknown,0.2,8,32628.0775,1847
Puget & Co,unknown,0.2,5,32369.715,1847
John Boy & Co,unknown,0.2,17,32305.6675,1857
Abel Bros,unknown,0.2,25,32172.789999999997,1847
"Prince, Ogg & Co",unknown,0.2,4,31987.0,1866
Steains Rowley & Co,unknown,0.2,24,31848.5975,1847
Chamberlain & Son,unknown,0.2,17,31718.9975,1847
Hy Rogers Sons & Co,unknown,0.2,6,31711.949999999997,1914
I.H.H. Holm,unknown,0.2,6,31678.82,1866
"Tamvaco, Micrulachi & Co",unknown,0.2,6,31521.13,1866
Tjas + Robinson W Ebbie Rale Co,unknown,0.2,1,31500.0,1857
Morgan Gellibrand & Co,merchant_bank,0.85,7,31480.06,1866
W & I Hall & Co,unknown,0.2,7,31329.079999999998,1866
Rob Knapton,unknown,0.2,41,31124.64,1847
A Sellean Son & Co,unknown,0.2,2,31077.03,1857
Weston & Co,unknown,0.2,5,31000.0,1866
Rodocanachi S & Co,unknown,0.2,7,30937.739999999998,1847
"Crocker, Sons & Turner",unknown,0.2,7,30891.949999999997,1866
Ralli & Mavrojani,unknown,0.2,7,30870.640000000003,"1857,1866"
P. J. Morgan & Co,merchant_bank,0.85,1,30825.0,1866
Kerr & Scott,unknown,0.2,16,30785.16,"1847,1857"
B C J Gray & Son,unknown,0.2,19,30648.769999999997,1847
J R Jaffray,unknown,0.2,22,30518.845,1847
Norris & Chaplin,unknown,0.2,8,30396.72,1866
E Sheldon & Co,unknown,0.2,18,30269.83,1857
Cruikshank M & Co,unknown,0.2,13,30207.445,1847
Leys Masson & Co,unknown,0.2,29,30201.425,1847
Charles Walton,unknown,0.2,33,30108.88,1847
B Elkin & Sons,unknown,0.2,33,30064.37,"1847,1857"
English Scottish & Australian Bank Ltd,clearing_or_joint_stock_bank,0.7,1,30060.85,1914
Keith Sands & Co,unknown,0.2,1,30000.0,1857
Foster & Porter & Co,unknown,0.2,10,29995.160000000003,1847
J. Mosenthal & Co,unknown,0.2,8,29828.6,1866
J Kingston & Co,unknown,0.2,8,29769.105,1847
Cj Howell & Son,unknown,0.2,2,29766.554999999997,1857
W J & H Beale,unknown,0.2,8,29656.69,1847
H Cox & Co,unknown,0.2,8,29488.07,1857
Peck Bros & Co,unknown,0.2,15,29435.885,1847
P Dickson & Co,unknown,0.2,9,29366.57,1847
Blyth & Greene,unknown,0.2,7,29314.84,1847
A & G Da Costa & Co,unknown,0.2,25,29287.015,1847
Bevingtons & Sons,unknown,0.2,15,29285.01,"1847,1866"
Natl Bk Of Australasia,unknown,0.2,2,29144.1,1914
The European Bank,clearing_or_joint_stock_bank,0.4,1,29100.600000000002,1866
C & J Webb & Co,unknown,0.2,12,28970.489999999998,1847
Gust Roos & Co,unknown,0.2,14,28939.5,1866
Churchill & Sim,unknown,0.2,2,28811.25,"1857,1914"
The East London Bank Limited,clearing_or_joint_stock_bank,0.7,1,28809.9,1866
The Bombay Co Ltd,unknown,0.2,14,28800.859375,1914
Beo Befand Del Rio Co,unknown,0.2,1,28644.399999999998,1914
Alexander Cullen & Co,unknown,0.2,21,28596.21,1847
"Rose, Graham & Wilson",unknown,0.2,5,28586.6,1866
Thomas Gabriel & Son,unknown,0.2,13,28571.114999999998,1847
L Goddard,unknown,0.2,18,28536.155,1847
S Fafhet & Co,unknown,0.2,1,28500.0,1914
John Pirie,unknown,0.2,9,28466.517499999998,1847
I. K. Gilliat & Co,unknown,0.2,2,28417.14,1866
Thomson,unknown,0.2,2,28301.549999999996,1847
H Hoffmann,unknown,0.2,12,28198.7,1857
Leonon Hart & Son,unknown,0.2,3,28165.48,1857
Donaldson Lambert & Co,unknown,0.2,4,28140.0,1866
Stubbs & Church,unknown,0.2,20,28138.9325,1847
Booker Sons & Co,unknown,0.2,34,28089.995,1847
J W Browne & Co,unknown,0.2,31,28088.895,1847
Cocherell Larpeut & Co,unknown,0.2,1,27999.510000000002,1847
The Bank Of Egypt,foreign_or_colonial_financial,0.7,1,27816.0,1866
Cassavetti C & Co,unknown,0.2,11,27809.379999999997,1847
Coventry Sheppard & Co,unknown,0.2,15,27783.05,"1857,1866"
Hanson Bros & Co,unknown,0.2,4,27768.75,1847
R S Cox & Co,unknown,0.2,18,27659.59,1847
J & T Hepburn & Sons,unknown,0.2,10,27638.1,1866
Bank Of Scotland,foreign_or_colonial_financial,0.7,9,27549.999999999996,1914
E B Brown,unknown,0.2,37,27546.767499999998,1847
Norton Megaw & Co Ltd,unknown,0.2,4,27476.348749999997,1914
Standard Bank Of Africa Limited,foreign_or_colonial_financial,0.7,4,27407.379999999997,1866
P & C Van Notten & Co,unknown,0.2,8,27388.0,1866
D & T J Warren,unknown,0.2,35,27145.375,"1847,1866"
T. A. Hawkey,unknown,0.2,2,27000.0,1866
J R Thomason & Co,unknown,0.2,1,27000.0,1857
London & Liverpool Bank Of Commerce Ltd,clearing_or_joint_stock_bank,0.4,2,26964.059999999998,1914
Moses Bros,unknown,0.2,18,26898.0925,1847
William Thorne,unknown,0.2,18,26866.605,1847
New Zealand Bank,clearing_or_joint_stock_bank,0.4,2,26860.0,1866
F&A Delcomyn,unknown,0.2,2,26681.7,1914
Thomas Phehan & Co,unknown,0.2,1,26663.0,1857
F & E Godsell,unknown,0.2,10,26653.79,"1847,1857,1866"
W I & H Thompson,unknown,0.2,3,26580.0,1866
Abbott Nottingham & Co,unknown,0.2,32,26493.8275,1847
Bank Of Australia,clearing_or_joint_stock_bank,0.4,1,26456.55,1914
A. Mongredien & Co,unknown,0.2,5,26446.96,1866
Clay Janson & Co,unknown,0.2,26,26393.3725,1847
Bank Of Madras,foreign_or_colonial_financial,0.7,15,26365.0,1866
R Johnson & Neph,unknown,0.2,33,26299.364999999998,1847
Rainey Bruce & Co,unknown,0.2,31,26194.67,"1847,1857"
L J Enthoven & Co,unknown,0.2,4,26066.405,1847
Bicken & Co,unknown,0.2,1,25987.780000000002,1857
Price Coker & Co,unknown,0.2,10,25920.64,1857
H Waithman & Co,unknown,0.2,10,25916.46,"1847,1857"
Imp Merchant Credit Australia,unknown,0.2,2,25800.0,1866
Graham Tobias & Co,unknown,0.2,6,25755.940000000002,1857
D Drakeford & Co,unknown,0.2,15,25732.057500000003,"1847,1857"
T. M. Comas & Co,unknown,0.2,9,25731.98,1866
John Harbottle,unknown,0.2,8,25708.545,"1857,1866"
Samuel Stone,unknown,0.2,6,25479.050000000003,"1847,1857"
J Reay Jnr & H Reay,unknown,0.2,36,25473.7,1847
Naylor Benyon Co Ld,unknown,0.2,3,25469.65,1914
George Marshall,unknown,0.2,28,25336.4575,1847
"Bagallay, Westall & Spence",unknown,0.2,8,25287.58,1866
L Hart & Son,unknown,0.2,14,25235.49,"1847,1857"
J Hart & Co,unknown,0.2,25,25151.03,"1847,1857"
H D Greverus,unknown,0.2,5,25148.42,1847
"Gilmour, Rankin, Strang & Co.",unknown,0.2,15,25061.95,1866
Joint Stock Discount Co Limited,discount_house,0.9,1,25000.0,1866
W Mitcalfe,unknown,0.2,11,24888.2875,1847
John Brown,unknown,0.2,32,24887.18,1847
Arluthrot Ewart & Co,unknown,0.2,15,24811.0925,1914
Sheatfield L & Co,unknown,0.2,19,24753.9875,1847
W Abbott & Son,unknown,0.2,28,24703.36,1847
P H van Natteu & Co,unknown,0.2,2,24689.1,1847
T. Lowndes & Co,unknown,0.2,8,24549.72,1866
J & A Crocker,unknown,0.2,5,24515.985,1857
F J Van Zeller,unknown,0.2,21,24438.78,1847
Atfu Heseundes & Co,unknown,0.2,1,24414.074999999997,1857
Aubertin Bros,unknown,0.2,30,24407.864999999998,1847
Josh Robinson + Ebbie Vale Co,unknown,0.2,1,24300.0,1857
Ritchie Bros,unknown,0.2,13,24289.6475,1847
Edward Higgin & Co,unknown,0.2,6,24208.2,1866
C Lester & Co,unknown,0.2,14,24074.82,1847
B. Jubini & Co,unknown,0.2,5,23873.86,1866
H Bateman,unknown,0.2,6,23848.36,"1847,1857"
L H Haslewood,unknown,0.2,6,23823.725,1847
Bank Of Ireland,foreign_or_colonial_financial,0.7,1,23750.0,1914
"John Jones, Lloyd",unknown,0.2,12,23699.81,1847
Siordet Meyer & Co,unknown,0.2,5,23694.66,1857
C Sutherland & Co,unknown,0.2,6,23410.5,1857
A. Ralli & Co,unknown,0.2,1,23396.4,1866
L Cohen,unknown,0.2,1,23384.7,1857
Crowsley Bailey,unknown,0.2,2,23299.2,1866
J Bischoff & Sons,unknown,0.2,21,23288.3675,"1847,1857"
Edinburgh & Glasgow B,unknown,0.2,1,23208.975000000002,1847
Read Dodgson & Co,unknown,0.2,15,23192.945,1847
Phillips King & Co,unknown,0.2,13,23178.14,"1847,1857"
Jno Anderson & Sons,unknown,0.2,5,23176.9,1847
Puzey & Pallett,unknown,0.2,12,23087.895,1847
Hoston Megaw Co Ltd,unknown,0.2,6,23022.30625,1914
Gray & MacFarlan,unknown,0.2,24,23005.0,1847
James Bult Son & Co,unknown,0.2,1,22803.6,1857
J W Cater Collett & Co,unknown,0.2,8,22760.965,1847
Rohinson Fleming & Co,unknown,0.2,1,22656.55,1914
Byas & Thomas,unknown,0.2,3,22631.67,1847
"Kess, Scott & Co",unknown,0.2,7,22517.6,1866
H Goez,unknown,0.2,16,22380.895,1847
H Bull,unknown,0.2,8,22370.7175,1847
A Lillen Son & Co,unknown,0.2,1,22361.4,1857
G. Credit & Finance Coy Limited,unknown,0.2,1,22286.7,1866
John Currie & Co,unknown,0.2,3,22240.65,1857
T. W. Smith & Co,unknown,0.2,11,22222.11,1857
H & R Fowler,unknown,0.2,4,22209.2,1866
Richardson & Co,unknown,0.2,19,22138.4325,1847
Chris Kreeft,unknown,0.2,22,22003.51,1847
J H Rudall,unknown,0.2,28,21985.0275,1847
George Brettle & Co,unknown,0.2,10,21481.265,"1857,1866"
J D Thomson,unknown,0.2,8,21446.365,1847
W Jackson & Co,unknown,0.2,4,21350.760000000002,1866
W Pemberton & Co,unknown,0.2,13,21269.165,1847
R Nunes,unknown,0.2,46,21195.145,1847
H Pollacks Erben,unknown,0.2,7,21122.262499999997,1847
Redfern Alexander & Co,unknown,0.2,2,21100.9,1866
Bardgett & Picard,unknown,0.2,7,20954.515,1857
J.R Belltman,unknown,0.2,2,20936.1,1914
John Pickersgill & Son,unknown,0.2,4,20673.0,1857
W. & T. Devas & Co,unknown,0.2,12,20600.815,1857
Trimmer & Grainger,unknown,0.2,11,20571.614999999998,1866
Davey & Pegg,unknown,0.2,25,20539.5475,1847
J. Kynaston & Sons,unknown,0.2,5,20538.949999999997,1866
Rob Von Glehn,unknown,0.2,21,20445.774999999998,1847
H F Wallaston,unknown,0.2,11,20422.695,1847
David Morgan,merchant_bank,0.85,13,20414.55,1847
Chaffey & Son,unknown,0.2,32,20208.629,"1847,1857,1866"
Same Hawkey & Co,unknown,0.2,1,20113.18,1866
Coulon & Co,unknown,0.2,9,20085.605,1857
Caldecott & Sons W,unknown,0.2,3,20072.75,1857
Alexander Bell,unknown,0.2,4,20000.14,1847
"Randall, Wigan & Co",unknown,0.2,1,20000.0,1866
Roger Cunliffe Son Co,unknown,0.2,1,20000.0,1857
Stephenson Clarke,unknown,0.2,17,19939.035,"1857,1866"
N Garrett & Sons,unknown,0.2,6,19799.42,1866
Edwards Chuck,unknown,0.2,5,19661.600000000002,1847
Gilbert Kerr & Co,unknown,0.2,11,19634.18,1866
C David & Co,unknown,0.2,3,19557.0,1857
R Rea & Co,unknown,0.2,21,19510.09,"1847,1857"
S.Barrow & Bro Ltd,unknown,0.2,3,19449.47,1914
Jones & Brown,unknown,0.2,2,19419.9,1914
J L Lensome & Co,unknown,0.2,1,19390.84,1857
J & W Nicholson & Co,unknown,0.2,3,19355.05,1847
Gauge & Co,unknown,0.2,1,19287.45,1857
Cook Son & Co,unknown,0.2,3,19279.559999999998,1866
"Heilbut, Symons & Co",unknown,0.2,4,19241.66,1866
Hindley Co,unknown,0.2,5,19230.829999999998,1914
J & J Vickers & Co,unknown,0.2,19,19195.77,"1847,1866"
Dominion Bank,clearing_or_joint_stock_bank,0.4,1,19192.85,1914
S.Faphel & Co,unknown,0.2,1,19000.0,1914
Joseph Leese,unknown,0.2,1,19000.0,1866
Cocker Biddulph & Co,unknown,0.2,1,19000.0,1866
Arthur & Co Ltd,unknown,0.2,5,18969.738749999997,1914
J C Cummins,unknown,0.2,7,18888.695,1847
B Salomons & Sons,unknown,0.2,9,18764.0325,"1847,1857"
Eyles Evans & Co,unknown,0.2,8,18747.08,1857
Caraun Co,unknown,0.2,1,18699.2,1847
H Casement & Son,unknown,0.2,12,18692.925,1847
Church Son & Stubbs,unknown,0.2,17,18535.685,1857
Charles & Fox,unknown,0.2,39,18504.1,"1847,1857,1866"
C Tottie & Sons,unknown,0.2,7,18483.7,1857
Lewells + Nick,unknown,0.2,2,18469.0,1857
Arch & Hastic,unknown,0.2,1,18455.96,1847
W Anderson Sew & Co,unknown,0.2,16,18455.345,1847
Sturt & Sharp,unknown,0.2,4,18408.120000000003,"1847,1857,1866"
Hatsman & Co,unknown,0.2,1,18326.45,1914
Bailey & Co To Afe Of Bailey,unknown,0.2,1,18325.12,1866
John Williams & Sons,unknown,0.2,14,18313.3725,1857
Darent & Co,unknown,0.2,1,18309.600000000002,1857
John Armitage & Co,unknown,0.2,4,18300.0,1866
W Sewell & Co,unknown,0.2,28,18271.035,1847
Jno Shield & Co,unknown,0.2,2,18204.04,1847
Rehder & Baldemann,unknown,0.2,6,18197.91,1857
Shaw & Caffary,unknown,0.2,8,18127.42,1847
"Gellatly, Hankey & Sewell",unknown,0.2,6,18031.12,1866
Spicer Brothers,unknown,0.2,5,17966.07,1857
H Buchler & Co,unknown,0.2,29,17755.385,1847
Baltazzi Sons & Co,unknown,0.2,5,17748.9,1857
John Gladstone & Co,unknown,0.2,7,17700.535,1857
"Pinto Perez, Ashley & Co",unknown,0.2,2,17670.0,1866
Morgan Yellibrand & Co,merchant_bank,0.85,4,17665.75,1914
R & H Green,unknown,0.2,3,17613.9,1866
Marshall Page & Co,unknown,0.2,10,17596.075,"1857,1866"
B. C. T. Gray & Son,unknown,0.2,5,17564.4,1857
Samuel Courtaula & Co,unknown,0.2,5,17535.5,1866
Thompson & Pattinson,unknown,0.2,5,17515.34,1866
L Engstrom L & Co,unknown,0.2,5,17421.16,1847
Todhunter & Sancton,unknown,0.2,12,17415.5975,1847
R&J Henderson,unknown,0.2,6,17357.45,1914
W Anderson Hunt & Co,unknown,0.2,9,17352.0,1857
Harvey & Hudsons,unknown,0.2,1,17343.0,1866
Luckie Bros & Co,unknown,0.2,15,17332.36,1847
T Huth Co,merchant_bank,0.85,1,17247.12,1847
Spence Baggallay & Co,unknown,0.2,5,17235.6,1857
Young Harrison & Co,unknown,0.2,5,17164.6175,1847
Jroing Ellsworth & Adams,unknown,0.2,2,17148.6,1857
Ricard Freiwald,unknown,0.2,1,17094.3,1914
Chas Fauntleroy,unknown,0.2,22,17089.4625,1847
The International Bank,clearing_or_joint_stock_bank,0.4,2,17055.0,1866
Thomson Hankey & Co,unknown,0.2,6,16929.605,1847
Colchesters & Woolner,unknown,0.2,5,16927.94,"1857,1866"
J Lunham & Co,unknown,0.2,7,16898.905,1847
Taccivace Lucklacke,unknown,0.2,2,16838.01,1857
H D J Hugh & Co,unknown,0.2,2,16785.0,1847
J C Im Thuru & Co,unknown,0.2,2,16755.3,1857
"L. Goddard, Finch & Co",unknown,0.2,13,16738.39,1866
"Foster, Porter & Co",unknown,0.2,3,16621.440000000002,1866
A Robertson,unknown,0.2,1,16608.0,1847
C Hancock C S,unknown,0.2,12,16600.0975,1847
Daniel Hawkins,unknown,0.2,4,16580.0,1857
John Pirie & Co,unknown,0.2,5,16579.980000000003,"1857,1866"
J Davies & Son,unknown,0.2,21,16573.945,"1847,1857"
J Harrison & Co,unknown,0.2,10,16512.019999999997,1847
C Walton & Sons,unknown,0.2,10,16461.98,1857
Semme & Co J L,unknown,0.2,1,16378.949999999999,1847
Brockelbank & Rolt,unknown,0.2,8,16345.02,1857
Bowes Co Ltd,unknown,0.2,1,16293.310000000001,1914
Turck Barclay & Co,clearing_or_joint_stock_bank,0.7,10,16278.015,1857
R. W. Kennard & Co,unknown,0.2,5,16264.669999999998,1866
John Locke & Co,unknown,0.2,10,16243.5,1847
Joseph Richard,unknown,0.2,2,16241.8,1866
Alex & Roberston,unknown,0.2,2,16223.76,1847
Ashton & Co,unknown,0.2,3,16185.0,1857
Warre Bros,unknown,0.2,13,16183.6625,1847
Jeff Pelly,unknown,0.2,6,16148.0,1847
"Pye, Field & Co",unknown,0.2,5,16146.64,1866
J Gore & Co,unknown,0.2,8,16135.81,1847
N Fisher & Sons,unknown,0.2,6,16024.14,1866
Joseph Traves & Sons,unknown,0.2,3,15883.76,1866
W. Rattray & Co,unknown,0.2,11,15877.42,1866
B W Laroche,unknown,0.2,7,15864.8,1847
R A Husey,unknown,0.2,15,15863.965,1847
Lawes & Co R,unknown,0.2,2,15808.2,1847
T R & W Browning & Co,unknown,0.2,7,15788.994999999999,1847
A Pelly & Co,unknown,0.2,6,15759.0,1857
F. Gade & Son,unknown,0.2,8,15751.04,1866
T & D Henry,unknown,0.2,15,15724.275,1847
John Young & Co,unknown,0.2,3,15644.099999999999,1857
N E Bieber,unknown,0.2,10,15609.074999999999,1847
A & J Hill,unknown,0.2,7,15566.1525,1847
Clawfow Coloui & Co,unknown,0.2,2,15550.185000000001,1857
Sargant Gordon & Co,unknown,0.2,20,15509.285,1847
H & C Kent,unknown,0.2,5,15494.185,"1857,1866"
J Dowson & Co,unknown,0.2,3,15454.665,1857
Rob & Carter & Co,unknown,0.2,7,15391.052500000002,1847
J. R. Jaffray & Co,unknown,0.2,6,15300.0,1866
Gould Davis & M,unknown,0.2,5,15183.955,1847
Lackerstein J & Co,unknown,0.2,11,15143.49,1847
Jas Campbell B S,unknown,0.2,5,15100.805,1847
Vivanti Annett & Co,unknown,0.2,12,15058.34,1866
James Watt & Co,unknown,0.2,7,15026.6,"1857,1866"
Robert Badger,unknown,0.2,1,15000.0,1857
Dickson Bros & Co,unknown,0.2,7,14995.025,1847
