counterparty_clean,actor_category,class_confidence,n_transactions,total_amount,crises
G Peabody & Co,unknown,0.2,13,494353.93,1857
Stern Bros,merchant_bank,0.85,47,485518.38999999996,"1847,1914"
A. Ruffer & Sons,unknown,0.2,28,470857.44749999995,1914
Dresdner Bank,foreign_or_colonial_financial,0.7,5,468421.24999999994,1914
Kraeutler & Mueville,unknown,0.2,45,445125.415,1847
Banca Commerciale Italiana,unknown,0.2,11,443935.0,1914
Bank Of London Limited,clearing_or_joint_stock_bank,0.4,2,430000.0,1866
James Burness & Sons,unknown,0.2,8,426901.5,1914
F Huth & Co,merchant_bank,0.85,13,420633.78,"1847,1857"
Wallace Bros & Co Ld,merchant_bank,0.85,10,419558.0525,1914
Fruhling & Goschen,merchant_bank,0.85,13,419378.36,"1857,1866,1914"
Hy Sherwood & Co,unknown,0.2,10,418244.19999999995,1914
British Bank Of Foreign Trade Ltd,clearing_or_joint_stock_bank,0.4,9,401400.64999999997,1914
Chartered Merchant Bank Of India Limited,foreign_or_colonial_financial,0.7,4,400000.0,1866
Bischoffshein G & Co,unknown,0.2,32,389796.62,1847
National Bank Of Scotland,foreign_or_colonial_financial,0.7,23,370236.85,1914
Lon: Asiatic & American Coy Limited,unknown,0.2,18,365609.86,1866
Chilian Gout,unknown,0.2,1,364090.35,1914
H & J Johnston & Co,unknown,0.2,38,362778.08249999996,"1847,1857"
Manchester & Liverpool District Bkg Co Ltd,unknown,0.2,7,358625.0,1914
Do,unknown,0.2,23,353721.105,"1847,1857"
Morrison D & Co,unknown,0.2,36,352634.295,1847
Swiss Bankverein,unknown,0.2,5,346781.35,1914
Hatimal Discount Co Ltd,discount_house,0.9,3,344192.86,1914
Haarbleichen Schumaum,unknown,0.2,25,328000.7,1866
R & J Henderson,unknown,0.2,23,325255.55,"1847,1866"
The Ebbw Vale Co Ltd,unknown,0.2,19,323600.7,1866
Gledstones & Co,unknown,0.2,19,322102.0,1866
Fletcher A & Co,unknown,0.2,19,321374.58999999997,1847
Bank Of Montreal,foreign_or_colonial_financial,0.7,15,317946.95,1914
F.Elles Son,unknown,0.2,17,316119.85,1914
Bank Of New South Wales,foreign_or_colonial_financial,0.7,3,316000.0,1866
Frederick Youle,unknown,0.2,24,308573.28,1866
Barnetts Hoare & Co On Account Of The Clydesdale Banking Company,unknown,0.2,4,302771.3,1857
London Westminister Bank,clearing_or_joint_stock_bank,0.4,1,300000.0,1866
J L Lemme & Co,unknown,0.2,22,296127.805,"1847,1857"
J H Schroder & Co,merchant_bank,0.85,18,295141.335,"1847,1857"
I. F. Pawson & Co,unknown,0.2,17,294766.42,1866
London Discount Corporation,discount_house,0.9,23,293016.625,1857
Lutgens & Ripley,unknown,0.2,16,290912.8,1914
National Bank Of India Ltd,foreign_or_colonial_financial,0.7,2,290808.0525,1914
Finlay Campbell & Co,merchant_bank,0.85,4,289487.5,1866
Consolidated Discount Co Limited,discount_house,0.9,9,288000.0,1866
J & R Morley,unknown,0.2,50,285828.925,"1847,1857,1866"
Glyn & Co O/A Union Bank Of Scotland,foreign_or_colonial_financial,0.7,1,285729.92,1857
Timothy Wiggin & Co,unknown,0.2,21,284535.705,1857
Union Bank Of Australia Ltd,clearing_or_joint_stock_bank,0.7,14,284327.39999999997,1914
The London Brazilian Bank,clearing_or_joint_stock_bank,0.4,1,282000.0,1866
Credit Lyonnais Per Glyn Mills Currie,merchant_bank,0.85,1,281915.35,1914
Bank Of Hindustan Limited,foreign_or_colonial_financial,0.7,6,279238.66000000003,1866
Samuel Montagu & Co,unknown,0.2,19,276452.94,1866
Schunck S & Co,unknown,0.2,35,275840.745,1847
Lon Hanseatic Bk Ld,unknown,0.2,12,274311.39,1914
Union Smiths Bank Prescotts,clearing_or_joint_stock_bank,0.4,68,274230.8,1914
