crisis,name,n_entities,total_value,top1_share,top5_share,top10_share,hhi,gini
1857,1857 Panic,563,24982546.725,0.14438336570348193,0.4218009305054146,0.5285521818632763,508.62695832956337,0.8459575331835724
1866,1866 Overend Gurney,512,21374002.104999997,0.044214360762083404,0.19434515490331475,0.3386891287105542,162.88806375250414,0.8007329049126846
1914,1914 WWI outbreak,196,134819804.39999998,0.0727318927188712,0.282670791502795,0.4590948249996127,299.4264600220902,0.7999520806358738
