counterparty_clean,canonical_counterparty,match_method,similarity_score,manual_review_required,cluster_id
Banffo & Co,Banffo & Co,exact,100,False,81
Bank Of Australasia,Bank Of Australasia,exact,100,False,82
Bank Of Australia,Bank Of Australasia,rapidfuzz_token_set_ratio,94,False,82
Bank Of British West Africa Ltd,Bank Of British West Africa Ltd,exact,100,False,83
Bank Of Egypt,The Bank Of Egypt,rapidfuzz_token_set_ratio,100,False,1158
Bank Of Hindustan Limited,Bank Of Hindustan Limited,exact,100,False,84
Bank Of Ireland,Bank Of Ireland,exact,100,False,85
Bank Of London Limited,Bank Of London Limited,exact,100,False,86
Bank Of Madras,Bank Of Madras,exact,100,False,87
Bank Of Montreal,Bank Of Montreal,exact,100,False,88
Bank Of New South Wales,Bank Of New South Wales,exact,100,False,89
Bank Of Scotland,Bank Of Scotland,exact,100,False,90
Bank Of Wales,Bank Of New South Wales,rapidfuzz_token_set_ratio,100,False,89
Banque Belge,Banque Belge,exact,100,False,91
Barclay & Co,Barclay & Co Ltd,rapidfuzz_token_set_ratio,100,False,92
Barclay & Co Ltd,Barclay & Co Ltd,exact,100,False,92
Bardburg & Cook,Bardburg & Cook,exact,100,False,93
Bardgett & Picard,Bardgett & Picard,exact,100,False,94
Barff & Co,Barff & Co,exact,100,False,95
Baring & Co,Baring Brothers & Co,rapidfuzz_token_set_ratio,100,False,96
Baring Bros & Co Ld,Baring Brothers & Co,rapidfuzz_token_set_ratio,100,False,96
Baring Brothers & Co,Baring Brothers & Co,exact,100,False,96
"Barker, Benwell & Co.","Barker, Benwell & Co.",exact,100,False,97
Barnard & Co,Barnard & Co,exact,100,False,98
Barnett & Co,Barnett & Co,exact,100,False,99
Barnetts Hoare & Co On Account Of The Clydesdale Banking Company,Barnetts Hoare & Co On Account Of The Clydesdale Banking Company,exact,100,False,100
Barry & Nephews,Barry & Nephews,exact,100,False,101
Bateman & Co,Bateman & Co,exact,100,False,102
Battley & Butler,Battley & Butler,exact,100,False,103
"Bauley, Pegg & Co","Bauley, Pegg & Co",exact,100,False,104
Bautcher Baltimore,Bautcher Baltimore,exact,100,False,105
Bayliss Jones & Bayliss,"Bayliss, Jones & Bayliss",rapidfuzz_token_set_ratio,100,False,106
"Bayliss, Jones & Bayliss","Bayliss, Jones & Bayliss",exact,100,False,106
Bco & Del Rio De La Hala,Bco & Del Rio De La Hala,exact,100,False,107
Beaudsell & Jackson,Beaudsell & Jackson,exact,100,False,108
Beauvaisen + Leannard,Beauvaisen + Leannard,exact,100,False,109
Bedell Prior & Co,Bedell Prior & Co,exact,100,False,110
Beith Stevenson & Co,Beith Stevenson & Co,exact,100,False,111
Beiy Riley,Beiy Riley,exact,100,False,112
