counterparty_clean,canonical_counterparty,match_method,similarity_score,manual_review_required,cluster_id
Fw Caseus,Fw Caseus,exact,100,False,395
G & I. A. Noble,G & I. A. Noble,exact,100,False,396
G & J Prince,G & J Prince,exact,100,False,397
G B Carr,G B Carr,exact,100,False,398
G Costen,G Costen,exact,100,False,399
G E Mackieth,G E Mackieth,exact,100,False,400
G E Mackreth,G E Mackieth,rapidfuzz_token_set_ratio,91,True,400
G Friend,G Friend,exact,100,False,401
G H & J F Wulff,G H & J F Wulff,exact,100,False,402
G Hitchcock & Co,G. Hitchcock Williams & Co,rapidfuzz_token_set_ratio,100,False,410
G Loder,G Loder,exact,100,False,403
G Peabody & Co,G Peabody & Co,exact,100,False,404
G&R Dewhurst Ltd,G&R Dewhurst Ltd,exact,100,False,405
G. & S. Kiteat,G. & S. Kiteat,exact,100,False,406
G. Andreae & Co,G. Andreae & Co,exact,100,False,407
G. B. Yates & Son,G. B. Yates & Son,exact,100,False,408
G. Credit & Finance Coy Limited,G. Credit & Finance Coy Limited,exact,100,False,409
G. E Macketh,G E Mackieth,rapidfuzz_token_set_ratio,95,False,400
G. Hitchcock Williams & Co,G. Hitchcock Williams & Co,exact,100,False,410
G. Houghton & Sons,G. Houghton & Sons,exact,100,False,411
G. J Thompson,G. J Thompson,exact,100,False,412
G. J. Smith For The Shropshire Banking Coy,G. J. Smith For The Shropshire Banking Coy,exact,100,False,413
G. Routledge & Sons Ld,G. Routledge & Sons Ld,exact,100,False,414
G.F. Neame Co,G.F. Neame Co,exact,100,False,415
G.G. Sandeman Sons Co,G.G. Sandeman Sons Co,exact,100,False,416
Gale & Frieud,Gale & Frieud,exact,100,False,417
Gauge & Co,Gauge & Co,exact,100,False,418
Gb Oyates & Son,Gb Oyates & Son,exact,100,False,419
"Gellatly, Hankey & Sewell","Gellatly, Hankey & Sewell",exact,100,False,420
Gene Credit & Co Limited,Gene Credit & Co Limited,exact,100,False,421
Geo Bretsle & Co,Geo Bretsle & Co,exact,100,False,422
Geo Gibbs & Son,Geo Gibbs & Son,exact,100,False,423
Geo Gore & Co,Geo Gore & Co,exact,100,False,424
Geo Soanes & Co,Geo Soanes & Co,exact,100,False,425
Geo: Hitchcock W: H & Co,Geo: Hitchcock W: H & Co,exact,100,False,426
George Brettle & Co,George Brettle & Co,exact,100,False,427
George Cross & Co,George Cross & Co,exact,100,False,428
George Goss & Co,George Cross & Co,rapidfuzz_token_set_ratio,88,True,428
George Johnson & Co,George Johnson & Co,exact,100,False,429
George Lawrence,George Lawrence,exact,100,False,430
George Peash,George Peash,exact,100,False,431
George Routledge & Son,George Routledge & Son,exact,100,False,432
George Smeed,George Smeed,exact,100,False,433
George Walker,George Walker,exact,100,False,434
George Wyatt,George Wyatt,exact,100,False,435
Gilbert Kerr & Co,Gilbert Kerr & Co,exact,100,False,436
Giles Loder,Giles Loder,exact,100,False,437
Gillespie Churchill & Co,Gillespie Churchill & Co,exact,100,False,438
Gillett Bros & Co,Gillett Bros & Co,exact,100,False,439
Gillson Cole & Co,Gillson Cole & Co,exact,100,False,440
Gilmour Rankin Strong & Co,"Gilmour, Rankin, Strang & Co.",rapidfuzz_token_set_ratio,95,False,441
"Gilmour, Rankin, Strang & Co","Gilmour, Rankin, Strang & Co.",rapidfuzz_token_set_ratio,100,False,441
"Gilmour, Rankin, Strang & Co.","Gilmour, Rankin, Strang & Co.",exact,100,False,441
Gladstone Ewart & Co,Gladstone Ewart & Co,exact,100,False,442
Gledstanes & Co,Gledstanes & Co,exact,100,False,443
Gledstones & Co,Gledstanes & Co,rapidfuzz_token_set_ratio,91,True,443
Glyn & Co,Glyn & Co O/A Union Bank Of Scotland,rapidfuzz_token_set_ratio,100,False,444
Glyn & Co O/A Union Bank Of Scotland,Glyn & Co O/A Union Bank Of Scotland,exact,100,False,444
Glyn Mills Currie,Glyn Mills Currie,exact,100,False,445
Gorton & Son,Gorton & Son,exact,100,False,446
Graham Tobias & Co,Graham Tobias & Co,exact,100,False,447
Green Humphry & Co,Green Humphry & Co,exact,100,False,448
Greenwood & Co,Greenwood & Co,exact,100,False,449
Gresend & Co,Gresend & Co,exact,100,False,450
"Grierson, Cole & Co.","Grierson, Cole & Co.",exact,100,False,451
Grissell Brothers & Co,Grissell Brothers & Co,exact,100,False,452
Grosscuth & Lubodlt,Grosscuth & Lubodlt,exact,100,False,453
Guaranty Trust Co Of New York,Guaranty Trust Co Of New York,exact,100,False,454
Guillaume Coster,Guillaume Coster,exact,100,False,455
Gunning & Duarell,Gunning & Duarell,exact,100,False,456
Gunning + Luarell,Gunning + Luarell,exact,100,False,457
Gust Roos & Co,Gust Roos & Co,exact,100,False,458
H & C Kent,H & C Kent,exact,100,False,459
H & D Sharpe,H & D Sharpe,exact,100,False,460
H & J Johnston & Co,H. & J. Johnson & Co,rapidfuzz_token_set_ratio,96,False,486
H & R Fowler,H & R Fowler,exact,100,False,461
H + E Muggeridge,H + E Muggeridge,exact,100,False,462
H B Downing,H B Downing,exact,100,False,463
H Ballin & Son,H Ballin & Son,exact,100,False,464
H Bateman,H Bateman,exact,100,False,465
H Bucknall & Sons Ltd,H Bucknall & Sons Ltd,exact,100,False,466
H Butler & Son,H. Butler & Son,rapidfuzz_token_set_ratio,100,False,489
H C & Cabe,H C & Cabe,exact,100,False,467
H Cox & Co,H Cox & Co,exact,100,False,468
H Davies,H Davies,exact,100,False,469
H E + M Moses,H E + M Moses,exact,100,False,470
H H Lindsay,H H Lindsay,exact,100,False,471
H Hillby & Sons,H Hillby & Sons,exact,100,False,472
H Hoffmann,H Hoffmann,exact,100,False,473
H Huith,H Huith,exact,100,False,474
H J Einthoven & Sons,H J Einthoven & Sons,exact,100,False,475
H J Lias & Son,H J Lias & Son,exact,100,False,476
H L & C Edwards & Co,H L & C Edwards & Co,exact,100,False,477
H Lancaster & Bull,H Lancaster & Bull,exact,100,False,478
H Lohnotamm,H Lohnotamm,exact,100,False,479
H P Rouquette & Co,H P Rouquette & Co,exact,100,False,480
H R Fowler,H & R Fowler,rapidfuzz_token_set_ratio,100,False,461
H Richard & Sons,H Richard & Sons,exact,100,False,481
H Rogers Sons & Co,"H. Rogess, Sons & Co",rapidfuzz_token_set_ratio,90,True,493
H Sherwood Co,H Sherwood Co,exact,100,False,482
H W Eaton,H. W. Eaton,rapidfuzz_token_set_ratio,100,False,498
H Waithman & Co,H Waithman & Co,exact,100,False,483
H White & Co,H White & Co,exact,100,False,484
H Williamns & Co,H Williamns & Co,exact,100,False,485
H. & J. Johnson & Co,H. & J. Johnson & Co,exact,100,False,486
H. A Joseph,H. A Joseph,exact,100,False,487
H. Bath & Son,H. Bath & Son,exact,100,False,488
H. Butler & Son,H. Butler & Son,exact,100,False,489
H. Clarkson & Co,H. Clarkson & Co,exact,100,False,490
H. D. Baleh,H. D. Baleh,exact,100,False,491
H. J. V. Greenway,H. J. V. Greenway,exact,100,False,492
"H. Rogess, Sons & Co","H. Rogess, Sons & Co",exact,100,False,493
H. S. Lefevre & Co,H. S. Lefevre & Co,exact,100,False,494
H. T Morgan & Co,H. T Morgan & Co,exact,100,False,495
H. Thurburn,H. Thurburn,exact,100,False,496
H. Varasseus,H. Varasseus,exact,100,False,497
H. W. Eaton,H. W. Eaton,exact,100,False,498
H. W. Elder & Son,H. W. Elder & Son,exact,100,False,499
H.C. Heut,H.C. Heut,exact,100,False,500
H.J. Enthoven & Sons,H J Einthoven & Sons,rapidfuzz_token_set_ratio,96,False,475
H.Kohnstamm,H.Kohnstamm,exact,100,False,501
H.S.Lefevre,H. S. Lefevre & Co,rapidfuzz_token_set_ratio,100,False,494
Haarbleichen Schumaum,Haarbleichen Schumaum,exact,100,False,502
Haarbleicher Schumann,Haarbleicher Schumann,exact,100,False,503
Hall & Gray,Hall & Gray,exact,100,False,504
Hall & Nuttall,Hall & Nuttall,exact,100,False,505
Hanson Smiths & Stevens,"Hanson, Smiths & Stephens",rapidfuzz_token_set_ratio,93,False,506
"Hanson, Smiths & Stephens","Hanson, Smiths & Stephens",exact,100,False,506
Hardcastle & Co.,Hardcastle & Co.,exact,100,False,507
Harley Nephew & Co,Harley Nephew & Co,exact,100,False,508
Harper Burne & Co,Harper Burne & Co,exact,100,False,509
Harryman & White,Harryman & White,exact,100,False,510
Hartman & Mallet,Hartman & Mallet,exact,100,False,511
Harvey & Hudsons,Harvey & Hudsons,exact,100,False,512
Harvey Stambridge,Harvey Stambridge,exact,100,False,513
Harwood Knight & Allen,Harwood Knight & Allen,exact,100,False,514
Hatimal Discount Co Ltd,Hatimal Discount Co Ltd,exact,100,False,515
Hatsman & Co,Hatsman & Co,exact,100,False,516
Havenith & Co,Havenith & Co,exact,100,False,517
Hawes & Co,Hawes Stanbridge & Hedley,rapidfuzz_token_set_ratio,100,False,518
Hawes Stanbridge & Hedley,Hawes Stanbridge & Hedley,exact,100,False,518
Haycroft & Pethick,Haycroft & Pethick,exact,100,False,519
Heilbut Symons & Co,"Heilbut, Symons & Co",rapidfuzz_token_set_ratio,100,False,520
"Heilbut, Symons & Co","Heilbut, Symons & Co",exact,100,False,520
Heitz & Deveze,Heitz & Deveze,exact,100,False,521
Hellertwaag Russel,Hellertwaag Russel,exact,100,False,522
Hen Geoff,Hen Geoff,exact,100,False,523
Henckell Du Buisson & Co,Henckell Du Buisson & Co,exact,100,False,524
Henckell Du Buisson Co,Henckell Du Buisson & Co,rapidfuzz_token_set_ratio,100,False,524
Henderson & Constable,Henderson & Constable,exact,100,False,525
Henry Clarke & Co,Henry Clarke & Co,exact,100,False,526
Henry Cowell,Henry Cowell,exact,100,False,527
Henry Dresser & Co,Henry Dresser & Co,exact,100,False,528
Henry Joachim,Henry Joachim,exact,100,False,529
Henry Kendall & Sons,Henry Kendall & Sons,exact,100,False,530
Henry Moul,Henry Moul,exact,100,False,531
Henry Powell & Sons,Henry Powell & Sons,exact,100,False,532
Heugh Balfour & Co,Heugh Balfour & Co,exact,100,False,533
Heywood & Co,Heywood & Co,exact,100,False,534
Hicks Baylis & Hicks,Hicks Baylis & Hicks,exact,100,False,535
Higgins Eagle & Hutchinson,Higgins Eagle & Hutchinson,exact,100,False,536
Higginson & Co,Higginson & Co,exact,100,False,537
Hindley Co,Hindley Co,exact,100,False,538
Hinkpatrick & Belguy,Hinkpatrick & Belguy,exact,100,False,539
Hinton Brothers & Co,Hinton Brothers & Co,exact,100,False,540
Hit Dellators,Hit Dellators,exact,100,False,541
Hl Crohn,Hl Crohn,exact,100,False,542
Hoare Buxton & Co,Hoare Buxton & Co,exact,100,False,543
Hocking Hitchock & Co,Hocking Hitchock & Co,exact,100,False,544
Hoge & Williamson,Hoge & Williamson,exact,100,False,545
Hohler & Co,Hohler & Co,exact,100,False,546
Hoine Wahney,Hoine Wahney,exact,100,False,547
Hong Kong & Shanghai Banking Corporation,Hong Kong & Shanghai Banking Corporation,exact,100,False,548
Hood & Ward,Hood & Ward,exact,100,False,549
Hop Planters Joint Stock Company,Hop Planters Joint Stock Company,exact,100,False,550
Hore + Gifford,Hore + Gifford,exact,100,False,551
Horne & Watney,Horne & Watney,exact,100,False,552
Horstman & Co,Horstman & Co,exact,100,False,553
Horstman Co,Horstman & Co,rapidfuzz_token_set_ratio,100,False,553
Hoston Megaw Co Ltd,Hoston Megaw Co Ltd,exact,100,False,554
Howse & Mead,Howse & Mead,exact,100,False,555
Hugh Jones & Co,Hugh Jones & Co,exact,100,False,556
Hy Rogers Sons & Co,Hy Rogers Sons & Co,exact,100,False,557
Hy Sherwood & Co,Hy Sherwood & Co,exact,100,False,558
Hyde Hodge & Co,Hyde Hodge & Co,exact,100,False,559
I & E Corderoy & Co,I & E Corderoy & Co,exact,100,False,560
I B W Nevill & Co,I B W Nevill & Co,exact,100,False,561
I F Pawson & Co,I. F. Pawson & Co,rapidfuzz_token_set_ratio,100,False,567
I Isaacs,I Isaacs,exact,100,False,562
I T W Noakes,I T W Noakes,exact,100,False,563
I. & B. Pearse & Co,I. & B. Pearse & Co,exact,100,False,564
I. Ciw Thaw & Co,I. Ciw Thaw & Co,exact,100,False,565
I. E. Coleman,I. E. Coleman,exact,100,False,566
I. F. Pawson & Co,I. F. Pawson & Co,exact,100,False,567
I. K. Gilliat & Co,I. K. Gilliat & Co,exact,100,False,568
I. Leonino & Co,I. Leonino & Co,exact,100,False,569
I. W. Cater Inman & Co,I. W. Cater Inman & Co,exact,100,False,570
I. W. Cater Sons & Co,I. W. Cater Inman & Co,rapidfuzz_token_set_ratio,100,False,570
I. W. Cripps,I. W. Cripps,exact,100,False,571
I. W. Horsley,I. W. Horsley,exact,100,False,572
I.H.H. Holm,I.H.H. Holm,exact,100,False,573
I.K. Gilliat & Co,I. K. Gilliat & Co,rapidfuzz_token_set_ratio,100,False,568
Imp Merchant Credit Australia,Imp Merchant Credit Australia,exact,100,False,574
Imp Merchant Credit Limited,Imp Merchant Credit Australia,rapidfuzz_token_set_ratio,100,False,574
Imp. Ottoman Government,Imp. Ottoman Government,exact,100,False,575
Imperial Ottoman Bank,Imperial Ottoman Bank,exact,100,False,576
Inglis & Wakefield,Inglis & Wakefield,exact,100,False,577
Inglis Wakefield,Inglis & Wakefield,rapidfuzz_token_set_ratio,100,False,577
International Banking Corporation,International Banking Corporation,exact,100,False,578
It Tixcsen & Co,It Tixcsen & Co,exact,100,False,579
"Iwing, Ebsworth & Holmes","Iwing, Ebsworth & Holmes",exact,100,False,580
J & A Crocker,J & A Crocker,exact,100,False,581
J & B Peade & Co,J & B Peade & Co,exact,100,False,582
J & I Batten & Co,J & I Batten & Co,exact,100,False,583
J & J Vickers & Co,J & J Vickers & Co,exact,100,False,584
J & R Morley,J & R Morley,exact,100,False,585
J & T Hepburn & Sons,J & T Hepburn & Sons,exact,100,False,586
J & W J Courtenay,J & W J Courtenay,exact,100,False,587
J & W Rider,J & W Rider,exact,100,False,588
J Bischoff & Sons,J Bischoff & Sons,exact,100,False,589
J Bulk Son & Co,J Bulk Son & Co,exact,100,False,590
J Butt Son & Co,J Butt Son & Co,exact,100,False,591
J C Bailey,J C Bailey,exact,100,False,592
J C Im Thuru & Co,J. C. Im Thurm & Co,rapidfuzz_token_set_ratio,92,False,629
J Carter & Co,J Carter & Co,exact,100,False,593
J Collinson,J Collinson,exact,100,False,594
J D Dow,J. D. Dow,rapidfuzz_token_set_ratio,100,False,630
J D Park,J D Park,exact,100,False,595
J Davidge,J Davidge,exact,100,False,596
J Davies & Son,J Davies & Son,exact,100,False,597
J Dowson & Co,J Dowson & Co,exact,100,False,598
J E Ford,J E Ford,exact,100,False,599
J F Fixsen & Co,J F Fixsen & Co,exact,100,False,600
J Foot & Son,J Foot & Son,exact,100,False,601
J Gaury & Co,J. Gaury & Co,rapidfuzz_token_set_ratio,100,False,634
J H Dart,J H Dart,exact,100,False,602
J H N Loundes & Co,J H N Loundes & Co,exact,100,False,603
J H Randall,J H Randall,exact,100,False,604
J H Schroder & Co,J H Schroder & Co,exact,100,False,605
J Hart & Co,J Hart & Co,exact,100,False,606
J Hartley & Co,J Hartley & Co,exact,100,False,607
J Hash & Co,J Hash & Co,exact,100,False,608
J Hubbard & Co,J. Hubbard & Co,rapidfuzz_token_set_ratio,100,False,639
J J Buttress,J J Buttress,exact,100,False,609
J Jackson & Co,J Jackson & Co,exact,100,False,610
J Jacobson & Co,J Jacobson & Co,exact,100,False,611
J L Lemme & Co,J L Lemme & Co,exact,100,False,612
J L Lensome & Co,J L Lensome & Co,exact,100,False,613
J Leonino & Co,J Leonino & Co,exact,100,False,614
J Main Sons & Co,J Main Sons & Co,exact,100,False,615
J Maurenbrecher & Co,J Maurenbrecher & Co,exact,100,False,616
J P Bunt & Co,J P Bunt & Co,exact,100,False,617
J P Thal & Co,J. P. Thol & Co,rapidfuzz_token_set_ratio,90,True,646
J R Jaffray & Co,J. R. Jaffray & Co,rapidfuzz_token_set_ratio,100,False,647
J R Thomas & Co,J R Thomason & Co,rapidfuzz_token_set_ratio,92,False,618
J R Thomason & Co,J R Thomason & Co,exact,100,False,618
J Samalvier,J Samalvier,exact,100,False,619
J Simpson,J Simpson,exact,100,False,620
J W Gibbon,J W Gibbon,exact,100,False,621
J. & C. Boyd & Co,J. & C. Boyd & Co,exact,100,False,622
J. B Thompson,J. B Thompson,exact,100,False,623
J. B. Elin,J. B. Elin,exact,100,False,624
J. B. Elvis,J. B. Elvis,exact,100,False,625
J. B. Minshall,J. B. Minshall,exact,100,False,626
J. Ballauce & Son,J. Ballauce & Son,exact,100,False,627
J. Bennock & Co,J. Bennock & Co,exact,100,False,628
J. C. Im Thurm & Co,J. C. Im Thurm & Co,exact,100,False,629
J. D. Dow,J. D. Dow,exact,100,False,630
J. Defries & Sons,J. Defries & Sons,exact,100,False,631
J. G. Buskin,J. G. Buskin,exact,100,False,632
J. G. Homere,J. G. Homere,exact,100,False,633
J. Gaury & Co,J. Gaury & Co,exact,100,False,634
J. H Boobyer & Co,J. H Boobyer & Co,exact,100,False,635
J. H. Dant,J. H. Dant,exact,100,False,636
J. H. Mackenzie,J. H. Mackenzie,exact,100,False,637
J. H. Rudall,J. H. Rudall & Son,rapidfuzz_token_set_ratio,100,False,638
J. H. Rudall & Son,J. H. Rudall & Son,exact,100,False,638
J. Hubbard & Co,J. Hubbard & Co,exact,100,False,639
J. Hughes & Co,J. Hughes & Co,exact,100,False,640
J. Kynaston & Sons,J. Kynaston & Sons,exact,100,False,641
J. L. Minel,J. L. Minel,exact,100,False,642
J. M. Buston,J. M. Buston,exact,100,False,643
J. Mosenthal & Co,J. Mosenthal & Co,exact,100,False,644
J. O. Beetron,J. O. Beetron,exact,100,False,645
J. P. Thol & Co,J. P. Thol & Co,exact,100,False,646
J. R. Jaffray & Co,J. R. Jaffray & Co,exact,100,False,647
J. S. Morgan & Co,J. S. Morgan & Co,exact,100,False,648
J. Samuel & Emmanuel,J. Samuel & Emmanuel,exact,100,False,649
J. Tenny Clarke & Co,J. Tenny Clarke & Co,exact,100,False,650
J. W Laird,J. W Laird,exact,100,False,651
J. Young Ehlers & Co,J. Young Ehlers & Co,exact,100,False,652
J.Greenich & Sons Ld,J.Greenich & Sons Ld,exact,100,False,653
J.H.Schroder & Co,J H Schroder & Co,rapidfuzz_token_set_ratio,100,False,605
J.R Belltman,J.R Belltman,exact,100,False,654
Ja Bull Sons Co,Ja Bull Sons Co,exact,100,False,655
Jacob Isaac,Jacob Isaac,exact,100,False,656
Jacob Walter & Co,Jacob Walter & Co,exact,100,False,657
"Jacomb, Hogg & Co","Jacomb, Hogg & Co",exact,100,False,658
James & Brown,James & Brown,exact,100,False,659
James Anderson & Co,James Anderson & Co,exact,100,False,660
James Barber & Co,James Barber & Co,exact,100,False,661
James Bult Son & Co,James Bult Son & Co,exact,100,False,662
James Burness & Sons,James Burness & Sons,exact,100,False,663
James Consens,James Consens,exact,100,False,664
James Cook & Co,James Cook & Co,exact,100,False,665
James Coster & Co,James Coster & Co,exact,100,False,666
James Davidge,James Davidge,exact,100,False,667
James Dickson,James Dickson,exact,100,False,668
James Duncan & Co,James Duncan & Co,exact,100,False,669
James Fowa,James Fowa,exact,100,False,670
James Hill & Sons,James Still & Sons,rapidfuzz_token_set_ratio,88,True,682
James Lang,James Lang,exact,100,False,671
James Laurence,James Laurence,exact,100,False,672
James Lawrence,James Laurence,rapidfuzz_token_set_ratio,92,False,672
James Matthews & Co,James Matthews & Co,exact,100,False,673
James Mills,James Mills,exact,100,False,674
James Mullins & Co,James Mullins & Co,exact,100,False,675
James Norris,James Norris,exact,100,False,676
James Pin & Co,James Pin & Co,exact,100,False,677
James Scott & Son,James Scott & Son,exact,100,False,678
James Shears & Sons,James Shears & Sons,exact,100,False,679
James Spicer & Sons,James Spicer & Sons,exact,100,False,680
James Steains & Co,James Steains & Co,exact,100,False,681
James Still & Sons,James Still & Sons,exact,100,False,682
James Watt & Co,James Watt & Co,exact,100,False,683
James Wiseman,James Wiseman,exact,100,False,684
Jellicoe & Wix,Jellicoe & Wix,exact,100,False,685
Jersey Banking Coy,Jersey Banking Coy,exact,100,False,686
Jh Macku,Jh Macku,exact,100,False,687
Joane Jackson & Co,Joane Jackson & Co,exact,100,False,688
John Anderson & Sons,John Anderson & Sons,exact,100,False,689
John Armitage & Co,John Armitage & Co,exact,100,False,690
John Barelli,John Barelli & Co,rapidfuzz_token_set_ratio,100,False,691
John Barelli & Co,John Barelli & Co,exact,100,False,691
John Bill Dresser & Co,John Bill Dresser & Co,exact,100,False,692
John Boy & Co,John Boy & Co,exact,100,False,693
John Boyd,John Boyd,exact,100,False,694
John Courtenay,John Courtenay,exact,100,False,695
John Crossley & Sons Limited,John Crossley & Sons Limited,exact,100,False,696
John Currie & Co,John Currie & Co,exact,100,False,697
John Dickensgill & Son,John Pickessgill & Sons,rapidfuzz_token_set_ratio,88,True,713
John Fair & Co,John Mair Son & Co,rapidfuzz_token_set_ratio,90,True,711
John Feltham & Co,John Feltham & Co,exact,100,False,698
John Fore & Co,John Fore & Co,exact,100,False,699
John Getting,John Getting,exact,100,False,700
John Gladding & Son,John Gladding & Son,exact,100,False,701
John Gladstone & Co,John Gladstone & Co,exact,100,False,702
John Goie & Co,John Goie & Co,exact,100,False,703
John H Barbe,John H Barbe,exact,100,False,704
John Halles,John Halles,exact,100,False,705
John Harbottle,John Harbottle,exact,100,False,706
John Haurie Nephew,John Haurie Nephew,exact,100,False,707
John Hubbard & Co,John Hubbard & Co,exact,100,False,708
John Hugher & Co,John Hugher & Co,exact,100,False,709
John Keay Sons Co,John Reay Sons & Co,rapidfuzz_token_set_ratio,80,True,717
John Macfrige,John Macfrige,exact,100,False,710
John Mair Son & Co,John Mair Son & Co,exact,100,False,711
John Montefiore & Son,John Montefiore & Son,exact,100,False,712
John Pickersgill & Son,John Pickessgill & Sons,rapidfuzz_token_set_ratio,94,False,713
John Pickessgill & Sons,John Pickessgill & Sons,exact,100,False,713
John Pirie & Co,John Pirie & Co,exact,100,False,714
John Ranking & Co,John Ranking & Co,exact,100,False,715
John Rapp & Co,John Rapp & Co,exact,100,False,716
John Reay Sons & Co,John Reay Sons & Co,exact,100,False,717
"John Reay, Sons Co",John Reay Sons & Co,rapidfuzz_token_set_ratio,100,False,717
John Riaff Sons & Co,John Riaff Sons & Co,exact,100,False,718
John S Baike,John S Baike,exact,100,False,719
John Schneider & Co,John Schneider & Co,exact,100,False,720
John Schwartz,John Schwartz,exact,100,False,721
John Sharp,John Sharp,exact,100,False,722
John Simmonds,John Simmonds,exact,100,False,723
John Smith,John Smith,exact,100,False,724
John Tellham & Co,John Tellham & Co,exact,100,False,725
John Torrance,John Torrance,exact,100,False,726
John Walker,John Walker,exact,100,False,727
John Williams & Sons,John Williams & Sons,exact,100,False,728
John Young & Co,John Young Ehlers & Co,rapidfuzz_token_set_ratio,100,False,729
John Young Ehlers & Co,John Young Ehlers & Co,exact,100,False,729
Joint Stock Discount Co Limited,Joint Stock Discount Co Limited,exact,100,False,730
Jonas Simonsen & Co,Jonas Simonsen & Co,exact,100,False,731
Jones & Brown,Jones & Brown,exact,100,False,732
Jos. Bridgette & Co,Jos. Bridgette & Co,exact,100,False,733
Joseph Allard,Joseph Allard,exact,100,False,734
Joseph Anderson & Son,Joseph Anderson & Son,exact,100,False,735
Joseph Balfour,Joseph Balfour,exact,100,False,736
Joseph Barwick,Joseph Barwick,exact,100,False,737
Joseph Bridgett & Co,Joseph Bridgett & Co,exact,100,False,738
Joseph Callinson,Joseph Callinson,exact,100,False,739
Joseph Gonalaie,Joseph Gonalaie,exact,100,False,740
Joseph Jackson,Joseph Jackson,exact,100,False,741
Joseph Leese,Joseph Leese,exact,100,False,742
Joseph Richard,Joseph Richard,exact,100,False,743
Joseph Samalivies,Joseph Samalivies,exact,100,False,744
Joseph Tetley & Co,Joseph Tetley & Co,exact,100,False,745
Joseph Traves & Sons,Joseph Traves & Sons,exact,100,False,746
Josh Anderson,Josh Anderson,exact,100,False,747
Josh Robinson + Ebbie Vale Co,Josh Robinson + Ebbie Vale Co,exact,100,False,748
Joshua Jornalvico,Joshua Jornalvico,exact,100,False,749
Jp Thol & Co,Jp Thol & Co,exact,100,False,750
Jr Browne,Jr Browne,exact,100,False,751
Jroing Ellsworth & Adams,Jroing Ellsworth & Adams,exact,100,False,752
Jt Docoson & Co,Jt Docoson & Co,exact,100,False,753
Jt Dow,Jt Dow,exact,100,False,754
Judah Hard & Co,"Judah, Hart & Co",rapidfuzz_token_set_ratio,91,True,755
"Judah, Hart & Co","Judah, Hart & Co",exact,100,False,755
Julius Jacoby,Julius Jacoby,exact,100,False,756
Jw Silmer & Co,Jw Silmer & Co,exact,100,False,757
Keith Sands & Co,Keith Sands & Co,exact,100,False,758
Kemp Stone & Co,Kemp Stone & Co,exact,100,False,759
Kerr & Scott,Kerr & Scott,exact,100,False,760
"Kess, Scott & Co","Kess, Scott & Co",exact,100,False,761
King & Foa,King & Foa,exact,100,False,762
King Melvil & Co,King Melvil & Co,exact,100,False,763
Kipling Pain & Co,Kipling Pain & Co,exact,100,False,764
Kleinwort & Cohen,Kleinwort Sons & Co,rapidfuzz_token_set_ratio,100,False,765
Kleinwort Sons & Co,Kleinwort Sons & Co,exact,100,False,765
Koebel Jameson & Co,Koebel Jameson & Co,exact,100,False,766
Konig Bros,Konig Bros,exact,100,False,767
Kraeutler & Mieville,Kraeutler & Mieville,exact,100,False,768
Kraft Bros,Kraft Bros,exact,100,False,769
L Bisset & Co,L Bisset & Co,exact,100,False,770
L Bunn & Co,L Bunn & Co,exact,100,False,771
L Busson & Co,L Busson & Co,exact,100,False,772
L Cohen,L Cohen,exact,100,False,773
L Engstrom Neame & Co,L Engstrom Neame & Co,exact,100,False,774
L Goddard Finch & Co,"L. Goddard, Finch & Co",rapidfuzz_token_set_ratio,100,False,778
L Hart & Son,L. Hart & Son,rapidfuzz_token_set_ratio,100,False,779
L&A Brown,L&A Brown,exact,100,False,775
L. Brusewitz,L. Brusewitz,exact,100,False,776
L. Engstrom Browning & Co,L. Engstrom Browning & Co,exact,100,False,777
"L. Goddard, Finch & Co","L. Goddard, Finch & Co",exact,100,False,778
L. Hart & Son,L. Hart & Son,exact,100,False,779
L.Boy.W.Bk Bk Chas Comiys Co,L.Boy.W.Bk Bk Chas Comiys Co,exact,100,False,780
Langton + Robinson,Langton + Robinson,exact,100,False,781
Lanthe Buhnell,Lanthe Buhnell,exact,100,False,782
Lapton Hootond & Co,Lapton Hootond & Co,exact,100,False,783
Lascaridi & Co,Lascaridi & Co,exact,100,False,784
Lat Discount Co Lo,Lat Discount Co Lo,exact,100,False,785
Leaf Sons & Co,Leaf Sons & Co,exact,100,False,786
Lemon Hart & Son,Lemon Hart & Son,exact,100,False,787
Lengerke Caesar,Lengerke Caesar,exact,100,False,788
Leonon Hart & Son,Leonon Hart & Son,exact,100,False,789
Lester & Buskin,Lester & Buskin,exact,100,False,790
Lewells + Nick,Lewells + Nick,exact,100,False,791
Lister & Biggs,Lister & Biggs,exact,100,False,792
Lloyd & Attree,Lloyd & Attree,exact,100,False,793
Lloyd'S Bank Ltd,Lloyd'S Bank Ltd,exact,100,False,794
Locke Lanccaster W W R Johnson Sons Ltd,Locke Lanccaster W W R Johnson Sons Ltd,exact,100,False,795
"Locke, Crosier & Edwards","Locke, Crosier & Edwards",exact,100,False,796
"Lockie, Crosier & Edwards","Lockie, Crosier & Edwards",exact,100,False,797
Lom Bunudti Soms & Co,Lom Bunudti Soms & Co,exact,100,False,798
Lon Hanseatic Bk Ld,Lon Hanseatic Bk Ld,exact,100,False,799
Lon Jt Stock Bk,Lon Jt Stock Bk,exact,100,False,800
Lon Lpool Bk Of Comce,Lon Lpool Bk Of Comce,exact,100,False,801
Lon Provincial Bk,Lon Provincial Bk,exact,100,False,802
